,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,22,99,316,1580,100,93
1,25,100,371,1608,100,72
2,24,100,300,1637,100,82
3,15,100,168,1612,100,89
4,21,100,377,1633,100,81
5,18,99,179,1520,100,85
6,18,100,246,1524,100,75
7,22,100,371,1572,100,77
8,19,100,339,1623,100,83
9,17,100,209,1639,100,87
10,16,100,179,1726,100,94
11,26,100,420,1458,100,78
12,26,99,431,1508,100,85
13,21,100,310,1515,100,87
14,15,100,224,1570,100,78
15,19,99,358,1504,100,88
16,23,100,487,1554,100,86
17,20,100,348,1604,100,83
18,28,96,437,1487,100,82
19,20,100,318,1602,100,77
20,18,100,301,1712,100,80
21,22,100,349,1546,100,79
22,18,100,298,1567,100,94
23,19,99,260,1577,100,82
24,20,100,300,1608,100,81
25,24,100,331,1600,100,78
26,18,100,204,1640,100,84
27,15,100,251,1636,100,84
28,13,100,146,1637,100,77
29,19,99,326,1670,100,83
30,24,100,260,1630,100,78
31,21,100,295,1674,100,79
32,21,100,306,1611,100,78
33,23,100,346,1631,100,93
34,16,100,221,1599,100,89
35,23,100,288,1524,100,82
36,29,98,446,1562,100,84
37,27,100,354,1539,100,83
38,19,100,225,1655,100,93
39,12,100,183,1614,100,80
40,19,100,275,1579,100,84
41,19,100,245,1697,100,89
42,17,100,267,1550,100,82
43,17,100,233,1620,100,79
44,18,100,311,1654,100,91
45,26,100,296,1560,100,87
46,21,100,348,1545,100,76
47,23,98,331,1650,100,87
48,17,100,255,1627,100,82
49,22,100,362,1529,100,89
50,23,100,392,1506,100,81
51,15,100,219,1646,100,85
52,29,100,371,1559,100,83
53,16,100,315,1641,100,98
54,19,100,323,1587,100,79
55,14,100,181,1771,100,79
56,25,99,421,1576,100,84
57,23,100,270,1616,100,95
58,21,100,297,1583,100,86
59,22,99,261,1556,100,84
60,24,100,380,1510,100,68
61,25,100,344,1615,100,92
62,20,100,311,1584,100,87
63,12,99,188,1594,100,72
64,21,98,357,1549,100,79
65,22,100,269,1599,100,91
66,23,100,321,1585,100,78
67,20,100,370,1514,100,79
68,15,100,162,1589,100,87
69,18,99,241,1637,100,79
70,21,100,388,1559,100,83
71,17,100,233,1554,100,80
72,22,100,319,1557,100,83
73,20,99,221,1663,100,74
74,18,100,313,1655,100,81
75,19,100,341,1494,100,82
76,23,100,358,1409,100,78
77,22,100,389,1684,100,89
78,22,100,339,1573,100,90
79,17,100,221,1672,100,96
80,23,100,410,1476,100,88
81,28,100,353,1585,100,83
82,18,99,261,1621,100,71
83,21,100,256,1602,100,83
84,23,100,348,1610,100,74
85,24,100,277,1427,100,82
86,15,100,271,1692,100,94
87,20,100,295,1633,100,82
88,18,100,284,1643,100,92
89,16,100,268,1548,100,88
90,15,100,251,1561,100,84
91,20,100,294,1601,100,88
92,22,99,315,1618,100,72
93,19,100,259,1640,100,81
94,21,100,305,1566,100,87
95,13,100,208,1588,100,89
96,20,100,200,1626,100,83
97,23,99,322,1580,100,80
98,14,100,163,1614,100,76
99,23,100,354,1506,100,86
