,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1758,27,93,53
1,99,1,1769,25,53,41
2,99,1,1730,39,100,59
3,99,1,1813,23,85,38
4,99,10,1808,55,100,49
5,98,5,1798,23,96,46
6,100,0,1745,27,74,45
7,98,17,1800,32,95,58
8,100,0,1743,53,98,41
9,99,9,1714,30,95,48
10,100,0,1790,27,93,42
11,100,0,1820,28,100,47
12,100,0,1708,29,98,56
13,99,31,1763,26,78,54
14,100,0,1713,31,95,55
15,100,0,1700,25,86,45
16,99,2,1749,35,92,52
17,99,92,1783,30,100,51
18,99,1,1797,31,74,52
19,99,21,1707,30,97,50
20,100,0,1833,29,100,49
21,100,0,1782,21,93,41
22,99,1,1817,29,89,49
23,98,6,1667,24,86,45
24,100,0,1747,25,80,44
25,100,0,1809,33,97,51
26,100,0,1891,22,90,38
27,100,0,1756,27,95,47
28,100,0,1821,23,100,42
29,100,0,1734,26,95,45
30,100,0,1741,29,99,50
31,98,19,1752,26,95,41
32,98,23,1670,32,92,57
33,99,1,1730,33,93,58
34,89,98,1467,184,100,63
35,100,0,1750,29,82,50
36,99,38,1775,27,87,48
37,99,1,1837,25,97,39
38,89,95,1567,122,100,48
39,100,0,1875,27,100,48
40,99,65,1652,27,85,52
41,99,99,1795,26,99,44
42,100,0,1901,28,83,48
43,70,100,1187,204,100,71
44,99,1,1732,29,87,48
45,92,94,1512,134,97,56
46,100,0,1760,31,94,49
47,99,80,1811,32,94,50
48,100,0,1845,22,92,43
49,100,0,1764,31,95,55
50,99,45,1719,26,78,47
51,99,1,1647,29,100,45
52,100,0,1795,26,77,48
53,99,1,1817,29,90,50
54,98,38,1821,26,92,43
55,100,0,1772,22,83,42
56,99,21,1726,36,90,60
57,100,0,1733,28,90,53
58,98,11,1738,27,100,49
59,98,45,1725,35,98,55
60,99,1,1737,31,99,55
61,64,100,1009,196,100,64
62,99,1,1758,36,92,58
63,100,0,1890,67,99,37
64,100,0,1799,29,79,48
65,97,62,1712,32,99,51
66,99,1,1883,32,98,50
67,100,0,1769,27,54,55
68,100,0,1738,25,93,49
69,100,0,1774,21,96,37
70,99,64,1790,25,71,45
71,100,0,1774,31,92,52
72,100,0,1787,29,96,48
73,99,68,1728,27,94,45
74,100,0,1801,28,100,50
75,100,0,1859,19,76,35
76,99,32,1600,40,94,60
77,100,0,1616,26,88,46
78,100,0,1799,26,99,45
79,99,17,1796,26,89,45
80,99,1,1892,34,78,56
81,100,0,1746,26,93,45
82,100,0,1863,35,100,62
83,99,1,1756,24,85,45
84,99,16,1595,30,79,48
85,100,0,1810,35,97,59
86,98,17,1722,28,94,50
87,99,1,1733,35,98,55
88,100,0,1831,22,99,44
89,99,39,1712,28,93,51
90,99,45,1611,31,82,53
91,98,42,1672,22,78,39
92,99,1,1769,33,99,54
93,100,0,1718,36,98,57
94,99,48,1620,33,93,53
95,97,20,1800,29,99,53
96,99,59,1651,26,100,48
97,99,47,1817,29,91,50
98,98,46,1701,35,99,61
99,100,0,1765,28,89,51
