,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1670,34,98,57
1,98,52,1713,44,99,63
2,100,0,1720,44,95,74
3,99,26,1856,59,95,62
4,97,71,1507,43,97,68
5,98,84,1689,42,84,69
6,99,1,1824,33,83,63
7,99,1,1615,45,100,72
8,100,0,1700,36,100,61
9,99,1,1749,40,97,68
10,92,99,1533,122,99,61
11,100,0,1709,38,92,65
12,99,1,1731,30,91,55
13,99,1,1743,48,100,73
14,98,15,1578,42,54,69
15,99,1,1754,36,95,62
16,64,97,1184,215,100,82
17,98,49,1757,43,81,72
18,98,84,1805,30,88,54
19,97,57,1610,45,97,75
20,98,31,1830,40,99,66
21,99,9,1679,41,98,65
22,99,1,1839,43,90,73
23,99,2,1663,36,93,64
24,97,45,1688,35,99,59
25,100,0,1692,33,85,56
26,99,1,1732,29,71,49
27,100,0,1742,33,97,56
28,99,1,1774,32,92,51
29,99,26,1772,40,96,68
30,99,1,1821,27,99,45
31,100,0,1678,42,100,66
32,97,48,1674,32,90,53
33,98,13,1794,36,92,63
34,98,17,1647,41,100,69
35,99,1,1706,40,96,65
36,100,0,1703,42,98,70
37,98,28,1606,44,96,72
38,98,4,1653,40,93,72
39,98,45,1702,34,94,63
40,99,1,1706,34,93,58
41,98,70,1752,40,98,63
42,98,31,1782,39,99,66
43,98,50,1685,36,98,59
44,98,10,1709,45,100,73
45,99,1,1775,44,97,76
46,99,1,1717,35,73,63
47,100,0,1867,46,100,73
48,100,0,1613,42,95,70
49,100,0,1771,37,96,66
50,97,90,1772,41,100,67
51,99,1,1633,35,82,57
52,99,23,1544,37,96,59
53,100,0,1725,37,97,57
54,99,1,1693,44,99,74
55,99,1,1742,62,95,55
56,98,33,1773,43,95,69
57,98,94,1755,39,95,65
58,100,0,1663,40,100,68
59,100,0,1645,38,96,64
60,98,64,1659,44,84,71
61,100,0,1864,34,92,59
62,100,0,1823,27,72,49
63,99,1,1773,33,96,55
64,100,0,1691,34,82,56
65,98,50,1591,38,81,63
66,99,1,1817,43,91,68
67,99,1,1828,42,90,65
68,99,1,1878,38,89,64
69,97,87,1672,36,87,59
70,99,1,1755,41,97,65
71,99,1,1819,36,98,62
72,99,1,1594,39,73,62
73,99,1,1681,40,97,62
74,98,96,1756,30,96,51
75,97,73,1837,36,97,59
76,97,12,1756,31,76,57
77,98,78,1695,40,100,64
78,99,2,1775,40,100,65
79,99,1,1717,35,86,63
80,99,1,1949,37,98,59
81,98,49,1791,35,100,60
82,100,0,1754,36,94,60
83,99,1,1871,43,99,67
84,99,1,1735,34,74,54
85,99,1,1715,46,99,74
86,98,81,1813,33,81,55
87,98,79,1748,38,97,63
88,99,1,1671,42,97,68
89,100,0,1700,35,100,53
90,98,13,1847,38,99,61
91,98,3,1695,40,83,64
92,99,22,1704,35,100,58
93,99,1,1642,46,95,77
94,100,0,1703,45,100,73
95,99,10,1657,39,100,66
96,99,1,1779,39,90,60
97,100,0,1635,34,97,61
98,100,0,1699,38,88,61
99,97,65,1782,31,77,56
