,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1697,0,0,22
1,100,0,1913,0,0,23
2,100,0,1730,0,0,20
3,98,96,1761,0,0,22
4,100,0,1835,0,0,24
5,100,0,1759,0,0,17
6,100,0,1741,0,0,19
7,100,0,1931,0,0,24
8,100,0,1819,0,0,23
9,100,0,1775,0,0,22
10,100,0,1791,0,0,20
11,100,0,1893,0,0,25
12,100,0,1681,0,0,17
13,99,62,1733,0,0,24
14,99,99,1630,0,0,19
15,100,0,1892,0,0,23
16,100,0,1880,0,0,22
17,100,0,1748,0,0,21
18,100,0,1913,0,0,24
19,100,0,1759,0,0,20
20,100,0,1857,0,0,23
21,100,0,1839,0,0,17
22,100,0,1849,0,0,24
23,100,0,1923,0,0,23
24,98,73,1728,0,0,21
25,100,0,1906,0,0,18
26,99,90,1877,0,0,23
27,100,0,1891,0,0,22
28,100,0,1873,0,0,22
29,99,88,1783,0,0,20
30,100,0,1760,0,0,23
31,100,0,1809,0,0,25
32,100,0,1746,0,0,23
33,100,0,1790,0,0,23
34,100,0,1750,0,0,23
35,100,0,1895,0,0,22
36,100,0,1773,0,0,22
37,100,0,1919,0,0,20
38,100,0,1776,0,0,21
39,100,0,1903,0,0,25
40,100,0,1707,0,0,24
41,100,0,1740,0,0,27
42,99,71,1748,0,0,26
43,100,0,1821,0,0,28
44,98,98,1788,0,0,24
45,100,0,1829,0,0,26
46,100,0,1816,0,0,21
47,100,0,1748,0,0,25
48,100,0,1900,0,0,23
49,100,0,1792,0,0,25
50,100,0,1817,0,0,23
51,100,0,1775,0,0,26
52,100,0,1725,0,0,16
53,100,0,1822,0,0,24
54,99,59,1632,0,0,26
55,100,0,1874,0,0,23
56,100,0,1790,0,0,26
57,99,22,1764,0,0,23
58,100,0,1771,0,0,23
59,100,0,1803,0,0,27
60,99,40,1802,0,0,21
61,100,0,1731,0,0,23
62,100,0,1853,0,0,23
63,100,0,1748,0,0,23
64,100,0,1773,0,0,23
65,100,0,1820,0,0,21
66,100,0,1702,0,0,26
67,100,0,1754,0,0,24
68,100,0,1670,0,0,22
69,100,0,1713,0,0,22
70,99,78,1819,0,0,20
71,100,0,1708,0,0,22
72,99,98,1752,0,0,20
73,100,0,1721,0,0,22
74,100,0,1883,0,0,23
75,100,0,1785,0,0,25
76,100,0,1858,0,0,21
77,100,0,1827,0,0,24
78,100,0,1901,0,0,19
79,100,0,1816,0,0,25
80,100,0,1773,0,0,24
81,100,0,1884,0,0,24
82,100,0,1690,0,0,22
83,100,0,1609,0,0,21
84,100,0,1861,0,0,25
85,99,57,1863,0,0,19
86,100,0,1817,0,0,23
87,100,0,1791,0,0,30
88,100,0,1818,0,0,25
89,100,0,1916,0,0,22
90,100,0,1845,0,0,22
91,100,0,1841,0,0,24
92,99,99,1746,0,0,21
93,100,0,1823,0,0,25
94,100,0,1844,0,0,24
95,100,0,1863,0,0,20
96,100,0,1641,0,0,22
97,99,1,1660,0,0,25
98,100,0,1713,0,0,29
99,100,0,1842,0,0,23
