,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,83,39,1435,310,95,71
1,85,92,1458,317,88,65
2,88,44,1451,286,95,65
3,90,64,1423,314,79,61
4,85,59,1289,329,84,69
5,87,30,1475,309,94,62
6,90,36,1499,290,100,63
7,84,36,1548,297,96,68
8,80,74,1360,326,84,60
9,82,29,1305,290,84,83
10,88,36,1573,285,100,62
11,81,94,1400,276,94,64
12,84,32,1392,301,97,61
13,87,42,1451,313,89,52
14,88,32,1502,303,91,74
15,88,38,1381,322,88,63
16,82,29,1283,317,99,68
17,87,28,1401,319,97,66
18,88,39,1427,312,95,55
19,87,54,1319,291,93,64
20,85,47,1254,302,97,65
21,87,24,1414,288,87,59
22,83,36,1425,317,87,71
23,81,36,1371,315,88,61
24,84,32,1521,315,92,64
25,87,37,1561,323,98,69
26,82,35,1372,323,59,64
27,82,66,1290,323,95,61
28,88,34,1471,298,87,70
29,83,41,1579,340,99,68
30,86,58,1448,319,96,58
31,86,39,1441,313,96,67
32,85,38,1439,308,83,50
33,86,33,1435,306,96,71
34,87,36,1459,307,92,58
35,88,35,1384,329,95,68
36,88,25,1512,296,99,64
37,86,27,1453,291,87,61
38,89,94,1402,323,90,67
39,87,72,1448,314,96,64
40,90,39,1590,298,98,72
41,90,25,1679,280,97,58
42,89,27,1479,283,96,73
43,87,24,1543,291,97,60
44,87,30,1499,311,85,57
45,88,24,1515,290,98,68
46,87,93,1414,300,90,58
47,82,31,1457,314,80,66
48,89,27,1397,294,94,73
49,82,29,1357,323,93,62
50,84,34,1498,369,100,77
51,86,40,1529,322,85,62
52,86,25,1336,306,98,72
53,88,41,1457,291,83,76
54,83,35,1347,307,69,62
55,83,36,1332,313,98,59
56,84,46,1490,329,100,72
57,88,37,1504,321,84,68
58,85,31,1445,300,58,63
59,81,94,1373,314,92,74
60,85,45,1447,320,99,67
61,85,34,1499,308,99,73
62,84,64,1482,312,100,58
63,84,33,1563,286,94,60
64,83,29,1461,306,99,68
65,85,29,1475,301,87,67
66,89,24,1458,307,100,63
67,86,27,1390,320,100,72
68,84,20,1463,306,98,69
69,87,36,1430,337,92,72
70,86,26,1580,300,92,69
71,83,31,1344,314,91,69
72,86,30,1414,368,100,75
73,83,37,1380,305,95,57
74,86,49,1580,308,98,59
75,88,21,1543,285,96,55
76,83,29,1338,292,99,63
77,85,32,1422,309,91,70
78,88,26,1486,328,88,67
79,83,32,1249,313,98,71
80,89,23,1421,291,98,64
81,89,31,1422,321,87,67
82,86,38,1536,315,87,69
83,85,28,1396,306,94,66
84,86,33,1427,305,91,70
85,83,34,1482,315,95,63
86,88,27,1521,296,99,60
87,89,19,1427,298,94,74
88,89,31,1561,311,97,63
89,79,98,1286,429,98,68
90,87,24,1477,315,80,61
91,85,46,1413,290,76,74
92,85,43,1353,314,98,75
93,82,78,1352,312,100,66
94,83,38,1358,329,79,63
95,85,26,1625,297,97,60
96,81,34,1379,301,94,62
97,83,37,1434,318,95,51
98,85,41,1428,291,98,63
99,88,31,1412,282,99,66
