,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,98,92,1723,27,91,48
1,99,94,1724,27,77,45
2,99,1,1700,30,93,56
3,100,0,1720,34,100,60
4,97,51,1787,77,100,50
5,99,62,1888,29,98,51
6,100,0,1837,30,94,51
7,97,49,1756,31,86,54
8,99,1,1783,23,77,40
9,100,0,1754,24,99,42
10,100,0,1742,25,89,45
11,100,0,1826,34,97,64
12,100,0,1827,32,100,55
13,100,0,1682,33,100,51
14,98,94,1675,31,98,46
15,99,1,1843,26,75,44
16,100,0,1704,34,94,57
17,100,0,1771,27,97,49
18,98,60,1824,38,99,62
19,100,0,1736,25,94,44
20,100,0,1852,29,97,50
21,100,0,1757,33,94,55
22,99,1,1883,29,100,52
23,100,0,1783,25,98,49
24,99,3,1867,25,90,44
25,99,1,1817,27,95,50
26,100,0,1813,29,97,50
27,99,1,1721,28,70,47
28,99,40,1755,26,98,47
29,100,0,1770,27,76,45
30,98,2,1765,31,98,49
31,99,1,1731,27,91,41
32,100,0,1778,30,97,47
33,100,0,1718,26,96,46
34,100,0,1642,30,96,53
35,98,93,1520,132,99,60
36,99,1,1705,22,100,40
37,99,42,1793,31,92,47
38,99,80,1697,28,82,50
39,100,0,1835,32,100,51
40,98,48,1781,29,92,48
41,100,0,1786,27,95,47
42,99,1,1743,30,95,49
43,100,0,1775,26,97,49
44,99,1,1809,27,89,49
45,99,1,1718,30,95,52
46,99,1,1779,29,97,49
47,99,24,1738,38,97,57
48,99,4,1890,26,98,50
49,99,3,1768,31,97,52
50,99,1,1695,27,100,50
51,100,0,1857,31,90,54
52,99,27,1724,29,97,51
53,100,0,1824,27,96,46
54,100,0,1805,24,100,42
55,100,0,1751,28,90,51
56,100,0,1972,27,97,51
57,100,0,1823,22,100,40
58,100,0,1730,26,87,46
59,99,38,1788,27,100,49
60,99,1,1789,33,100,60
61,100,0,1742,32,86,52
62,100,0,1872,22,97,46
63,100,0,1756,29,93,54
64,99,8,1739,71,100,59
65,98,79,1832,27,84,51
66,100,0,1714,30,89,52
67,93,72,1548,117,94,52
68,99,27,1752,32,91,54
69,99,44,1794,32,90,50
70,99,1,1794,31,100,50
71,100,0,1855,33,96,56
72,100,0,1757,23,97,43
73,100,0,1691,27,100,47
74,100,0,1823,29,100,48
75,99,1,1814,26,92,43
76,98,32,1818,37,74,61
77,100,0,1694,31,94,55
78,100,0,1993,31,96,50
79,99,92,1747,34,92,57
80,100,0,1646,28,89,50
81,99,1,1726,22,91,38
82,100,0,1778,27,99,44
83,100,0,1839,30,100,52
84,99,62,1698,25,98,43
85,100,0,1752,22,72,45
86,99,1,1789,28,90,54
87,97,62,1680,35,98,60
88,100,0,1794,33,89,55
89,100,0,1718,33,100,54
90,100,0,1767,42,87,64
91,60,96,1066,224,98,69
92,100,0,1951,21,60,41
93,97,84,1844,34,89,58
94,100,0,1710,35,94,55
95,100,0,1824,26,87,47
96,100,0,1673,34,100,61
97,99,2,1668,25,66,41
98,99,1,1865,27,94,48
99,99,1,1773,30,97,55
