,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,98,2,1749,37,93,57
1,99,42,1655,29,88,47
2,100,0,1771,32,99,56
3,100,0,1714,28,100,46
4,99,1,1747,22,83,43
5,98,72,1776,33,100,57
6,100,0,1795,30,96,50
7,98,25,1703,30,86,51
8,99,3,1680,33,92,52
9,100,0,1714,26,91,47
10,99,1,1656,28,100,54
11,99,3,1755,31,97,52
12,98,16,1707,46,99,55
13,97,12,1663,28,54,55
14,100,0,1743,26,87,45
15,100,0,1903,24,90,43
16,100,0,1864,27,100,47
17,99,1,1859,25,92,49
18,98,49,1765,24,99,43
19,100,0,1729,32,99,49
20,99,10,1760,33,82,55
21,98,28,1737,34,99,56
22,100,0,1854,33,92,57
23,98,84,1713,33,98,55
24,100,0,1815,24,100,45
25,100,0,1743,21,95,38
26,97,99,1736,39,100,61
27,99,1,1738,28,95,50
28,100,0,1771,33,92,59
29,100,0,1606,38,100,64
30,98,50,1700,38,88,59
31,98,9,1823,35,93,52
32,100,0,1622,30,99,50
33,100,0,1671,30,94,53
34,99,1,1988,27,93,49
35,99,86,1702,35,89,56
36,100,0,1732,29,90,59
37,99,34,1691,31,91,53
38,98,62,1717,42,87,55
39,100,0,1734,31,100,54
40,100,0,1665,32,99,56
41,100,0,1692,32,97,54
42,100,0,1857,24,98,43
43,99,1,1819,32,98,58
44,99,1,1843,31,77,59
45,99,1,1681,32,100,53
46,100,0,1711,36,97,59
47,99,1,1725,26,97,46
48,100,0,1739,39,99,61
49,99,1,1748,25,91,49
50,100,0,1810,30,96,51
51,99,2,1868,31,99,52
52,99,1,1861,25,87,47
53,100,0,1860,29,99,49
54,99,1,1738,31,93,51
55,98,51,1755,32,89,50
56,100,0,1771,23,96,37
57,100,0,1541,32,92,50
58,99,30,1695,30,97,49
59,99,1,1848,33,92,63
60,100,0,1902,29,98,47
61,100,0,1791,28,99,50
62,99,1,1705,24,98,49
63,99,91,1879,33,88,53
64,100,0,1836,31,71,50
65,100,0,1706,31,100,51
66,100,0,1629,34,85,56
67,99,1,1751,31,100,55
68,100,0,1773,28,88,46
69,100,0,1874,27,84,43
70,100,0,1717,35,87,65
71,99,54,1756,27,82,46
72,98,24,1840,30,98,56
73,100,0,1724,30,83,53
74,100,0,1705,73,98,59
75,99,10,1853,25,96,45
76,99,2,1786,51,99,60
77,99,1,1746,32,100,50
78,99,1,1684,28,87,48
79,98,13,1705,34,79,58
80,99,100,1740,36,100,61
81,99,1,1674,36,88,57
82,99,1,1767,31,90,50
83,98,13,1800,26,94,48
84,99,62,1760,29,73,51
85,99,1,1842,35,94,50
86,98,57,1646,42,91,64
87,99,1,1685,21,96,39
88,100,0,1836,31,84,56
89,99,16,1689,33,97,52
90,100,0,1856,25,97,44
91,100,0,1740,29,80,53
92,99,1,1785,32,93,47
93,99,1,1713,34,100,52
94,98,90,1618,73,100,56
95,99,24,1730,32,91,51
96,100,0,1796,32,90,55
97,99,74,1944,28,94,42
98,99,14,1737,25,100,48
99,97,100,1791,41,96,61
