,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1606,28,97,50
1,100,0,1853,22,80,42
2,100,0,1724,36,100,58
3,99,1,1654,23,68,46
4,100,0,1708,33,96,46
5,100,0,1741,27,89,50
6,100,0,1775,31,93,55
7,98,56,1781,32,100,51
8,100,0,1830,30,100,54
9,98,52,1723,27,94,45
10,100,0,1820,29,95,51
11,100,0,1710,20,98,37
12,98,59,1738,37,98,55
13,100,0,1865,23,87,43
14,100,0,1774,17,88,40
15,98,90,1834,30,96,54
16,100,0,1654,28,98,49
17,100,0,1777,23,92,41
18,97,14,1682,22,91,37
19,99,6,1708,29,97,46
20,99,1,1813,28,97,46
21,100,0,1836,24,67,45
22,99,1,1751,30,93,51
23,99,80,1983,36,90,53
24,100,0,1865,28,95,47
25,99,1,1773,33,91,60
26,100,0,1759,29,96,44
27,100,0,1799,33,96,52
28,100,0,1815,24,92,45
29,100,0,1756,25,94,47
30,99,1,1875,29,98,48
31,100,0,1858,25,85,43
32,100,0,1928,27,100,46
33,100,0,1695,29,100,51
34,100,0,1601,23,94,44
35,99,1,1889,22,100,39
36,100,0,1540,35,98,57
37,100,0,1761,29,87,51
38,100,0,1824,30,94,53
39,100,0,1660,26,74,48
40,99,97,1776,27,87,49
41,99,86,1818,59,99,39
42,99,8,1906,28,96,53
43,100,0,1847,25,95,46
44,100,0,1779,37,89,62
45,99,71,1674,38,92,58
46,99,39,1729,38,96,65
47,99,1,1952,32,99,52
48,100,0,1791,65,100,45
49,100,0,1583,29,96,48
50,99,74,1818,34,89,59
51,99,1,1678,35,96,59
52,99,98,1807,31,100,52
53,100,0,1730,37,95,60
54,100,0,1798,27,83,50
55,99,1,1844,30,97,52
56,100,0,1775,30,90,48
57,99,1,1643,27,88,43
58,100,0,1732,23,95,39
59,100,0,1737,24,92,46
60,98,97,1715,28,97,50
61,99,1,1731,28,86,52
62,100,0,1769,31,71,50
63,100,0,1862,28,75,49
64,99,63,1810,27,83,53
65,100,0,1845,25,96,45
66,99,19,1811,31,98,56
67,100,0,1828,24,75,45
68,100,0,1856,26,72,44
69,100,0,1812,32,97,54
70,99,3,1746,32,100,53
71,100,0,1689,39,100,67
72,99,1,1883,25,75,44
73,100,0,1716,27,94,48
74,98,38,1828,30,90,48
75,97,74,1701,32,90,50
76,100,0,1834,32,94,52
77,99,27,1669,27,77,48
78,100,0,1826,31,96,54
79,99,1,1771,32,98,53
80,99,78,1832,25,100,39
81,99,66,1909,31,73,48
82,99,50,1674,75,100,56
83,99,45,1777,34,91,51
84,100,0,1744,34,91,56
85,100,0,1830,29,92,51
86,98,92,1775,33,98,55
87,99,53,1806,32,97,49
88,100,0,1793,28,92,46
89,98,56,1651,33,94,58
90,99,1,1835,26,95,46
91,100,0,1819,32,92,57
92,100,0,1797,27,88,46
93,100,0,1955,20,93,44
94,98,23,1646,29,98,50
95,99,1,1823,29,90,48
96,99,37,1728,33,88,53
97,100,0,1741,26,65,50
98,98,68,1734,28,95,52
99,98,2,1700,32,99,53
