,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,20,100,283,1528,100,96
1,23,100,381,1547,100,83
2,28,100,513,1469,100,78
3,31,100,487,1384,100,93
4,22,100,407,1549,100,82
5,17,100,261,1710,100,100
6,26,100,428,1494,100,89
7,17,99,253,1540,100,82
8,19,100,272,1613,100,90
9,24,100,393,1540,100,92
10,21,100,329,1639,100,73
11,26,99,445,1426,100,77
12,22,99,372,1484,100,79
13,16,100,168,1609,100,88
14,18,99,264,1533,100,91
15,20,99,258,1624,100,83
16,17,100,240,1629,100,89
17,21,100,294,1549,100,95
18,20,100,302,1504,100,82
19,23,100,322,1487,100,73
20,19,100,276,1602,100,89
21,18,100,244,1524,100,90
22,17,100,285,1627,100,83
23,19,100,307,1554,100,71
24,17,100,299,1545,100,85
25,25,100,411,1541,100,73
26,18,100,345,1603,100,78
27,14,100,317,1560,100,94
28,20,100,289,1469,100,80
29,18,100,300,1529,100,88
30,29,98,401,1658,100,86
31,27,100,287,1584,100,78
32,19,100,384,1627,100,97
33,21,100,307,1748,100,77
34,20,99,350,1631,100,89
35,18,100,265,1639,100,94
36,21,100,291,1549,100,87
37,24,100,264,1568,100,84
38,14,100,217,1672,100,89
39,25,100,324,1544,100,85
40,20,100,397,1630,100,91
41,16,100,249,1596,100,91
42,20,100,352,1639,100,84
43,17,100,315,1575,100,87
44,29,99,389,1515,100,85
45,26,100,422,1445,100,91
46,16,100,255,1643,100,87
47,19,100,341,1571,100,99
48,19,100,281,1619,100,79
49,13,100,231,1602,100,81
50,18,100,219,1662,100,86
51,22,100,304,1542,100,81
52,19,100,210,1592,100,86
53,18,100,266,1562,100,85
54,21,100,278,1634,100,91
55,15,100,178,1530,100,78
56,27,100,297,1491,100,85
57,16,100,161,1679,100,84
58,25,100,379,1533,100,92
59,23,100,356,1523,100,88
60,19,100,228,1619,100,80
61,22,100,317,1642,100,85
62,25,99,255,1473,100,90
63,28,98,518,1559,100,90
64,15,100,272,1669,100,92
65,14,100,198,1618,100,82
66,18,100,327,1524,100,89
67,19,100,278,1618,100,88
68,24,100,316,1576,100,82
69,21,100,271,1663,100,92
70,19,100,163,1573,100,82
71,17,100,313,1602,100,86
72,23,100,331,1639,100,73
73,21,100,238,1611,100,105
74,18,99,160,1664,100,90
75,22,100,348,1506,100,84
76,25,100,355,1480,100,79
77,19,100,265,1628,100,90
78,15,100,344,1598,100,86
79,25,100,389,1458,100,89
80,25,100,376,1533,100,85
81,22,100,358,1596,100,89
82,18,100,189,1602,100,81
83,21,100,345,1581,100,88
84,19,100,328,1546,100,80
85,16,99,199,1587,100,91
86,20,100,347,1502,100,91
87,13,100,249,1609,100,88
88,22,100,226,1746,100,98
89,20,100,316,1587,100,90
90,27,100,541,1413,100,76
91,15,100,292,1653,100,92
92,26,99,332,1522,100,92
93,21,100,322,1559,100,83
94,25,99,499,1616,100,80
95,21,100,337,1622,100,80
96,15,100,234,1662,100,90
97,26,98,380,1457,100,90
98,18,100,280,1626,100,81
99,16,100,186,1555,100,89
