,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2272.0,69.6911212653,97,70,1788,35,93,61
1,2158.5,79.7502449861,99,1,1651,46,92,74
2,2197.5,64.721362164,100,0,1708,35,84,55
3,2200.5,61.84741854,99,1,1825,41,95,65
4,2233.0,88.1275788123,100,0,1738,24,99,46
5,2274.5,68.6028109622,99,93,1834,36,96,56
6,2194.0,53.2859568157,99,1,1713,39,100,64
7,2181.0,64.1740805585,99,1,1863,37,95,55
8,2197.0,70.5930003656,98,2,1778,35,89,63
9,2183.0,69.7023608432,99,100,1676,38,100,61
10,2208.5,57.9832472547,99,1,1720,36,91,56
11,2142.0,86.8537376714,99,1,1626,33,100,57
12,2250.0,81.4658208905,99,2,1650,43,97,71
13,2198.0,53.8087096196,98,27,1730,40,95,59
14,2264.0,91.8145798663,100,0,1705,42,76,67
15,2262.0,52.5486290296,99,1,1858,39,97,67
16,2219.0,59.9557389865,100,0,1806,37,97,61
17,2257.5,59.4711955588,100,0,1854,37,99,60
18,2217.0,69.8598522705,100,0,1756,32,95,56
19,2271.0,52.926079239,100,0,1769,40,98,70
20,2134.5,68.6158480795,99,1,1655,39,91,65
21,2162.5,50.7321248887,95,96,1745,38,93,60
22,2257.5,85.2673320265,100,0,1735,36,97,57
23,2278.5,56.0147536615,99,1,1729,38,93,63
24,2224.0,58.4867679262,99,1,1753,34,90,60
25,2259.0,75.6685041022,100,0,1749,39,85,67
26,2260.5,73.9233512482,97,61,1743,42,100,68
27,2250.5,82.0059287169,99,1,1749,41,95,68
28,2262.5,82.6732024406,98,78,1789,43,99,68
29,2127.0,76.0873146468,98,11,1704,33,96,58
30,2174.0,94.9917949725,99,1,1728,45,96,72
31,2230.0,72.3098234011,98,2,1703,40,79,70
32,2260.5,73.3767396649,99,1,1789,40,92,74
33,2200.0,75.0000583157,99,1,1673,43,100,72
34,2216.5,66.6499516808,98,27,1694,40,98,69
35,2166.0,55.2816223253,100,0,1691,42,97,68
36,2215.0,72.3940853257,100,0,1781,34,97,58
37,2267.0,70.9301010375,100,0,1859,42,99,69
38,2252.5,68.8932138048,98,50,1767,37,81,62
39,2205.5,71.7352924188,98,2,1817,41,88,69
40,2141.0,64.8310282279,99,9,1713,42,100,71
41,2237.0,63.6970852839,98,82,1764,35,96,57
42,2201.0,58.5766374787,98,84,1728,37,88,60
43,2174.0,80.6733379652,99,1,1723,32,99,50
44,2254.0,56.295688731,100,0,1780,31,81,53
45,2210.5,98.7298621642,99,25,1787,34,92,54
46,2167.5,43.9272333392,97,72,1669,42,99,68
47,2165.5,54.6627764826,98,13,1699,42,93,69
48,2139.5,69.1918223977,99,1,1626,39,93,66
49,2300.0,65.8197058008,100,0,1800,37,66,59
50,2222.5,55.5210433261,99,1,1754,40,92,67
51,2216.0,66.8693245755,99,91,1636,42,94,65
52,2290.0,57.1001535012,99,1,1706,48,97,72
53,2159.0,63.0041345813,98,75,1790,44,100,68
54,2219.5,75.9347058126,99,1,1699,40,61,70
55,2246.0,57.3943729113,99,1,1763,37,85,61
56,2118.5,77.4773320726,99,1,1662,35,91,59
57,2252.0,66.5787449303,100,0,1700,41,93,64
58,2205.0,75.0569804242,100,0,1663,33,98,58
59,2287.0,70.6497053972,99,1,1911,32,97,56
60,2255.5,57.212037502,99,4,1829,40,100,63
61,2277.0,76.4225920907,100,0,1814,38,94,63
62,2174.5,97.7650106373,99,17,1741,44,98,70
63,2146.0,47.6274950796,98,66,1617,41,86,63
64,2227.0,58.1487552817,100,0,1772,46,98,71
65,2189.0,70.8285256484,99,1,1729,40,92,63
66,2287.5,90.5571161397,100,0,1888,41,87,63
67,2242.0,76.3540499192,100,0,1756,46,96,71
68,2152.0,52.0063840913,99,1,1649,36,78,57
69,2260.5,78.2723225607,100,0,1846,31,79,53
70,2183.0,70.996484853,98,30,1761,33,95,60
71,2284.0,64.6707224817,99,1,1746,42,99,65
72,2202.0,48.2169466903,99,27,1743,39,99,65
73,2264.0,55.6684921019,99,1,1938,40,75,68
74,2217.0,53.9125475862,98,45,1652,47,98,75
75,2181.0,66.7233689701,100,0,1751,36,97,59
76,2195.0,57.9555695282,98,2,1768,33,99,58
77,2156.0,56.5699155997,99,99,1621,37,99,62
78,2283.0,68.4758172693,100,0,1799,40,94,66
79,2231.0,57.0824283079,98,93,1769,39,99,68
80,2205.0,56.7508594118,99,1,1772,34,98,57
81,2212.0,72.7302354316,98,6,1630,44,93,72
82,2205.0,81.7289927842,99,89,1862,40,93,65
83,2162.0,48.5406434326,98,12,1690,39,91,65
84,2272.5,70.0017804363,100,0,1782,39,99,62
85,2181.5,60.3389138125,100,0,1635,34,97,59
86,2213.0,84.7900647427,98,51,1766,40,99,67
87,2167.0,40.8568986678,98,3,1702,41,96,70
88,2147.0,55.0419424548,98,66,1606,42,95,68
89,2153.0,57.7697371552,99,1,1663,42,89,68
90,2276.0,57.1573201374,99,1,1803,35,99,64
91,2205.5,70.6041752418,96,80,1713,37,97,66
92,2203.5,55.1732574364,99,51,1756,39,100,62
93,2211.5,84.4478468461,98,2,1911,38,93,69
94,2204.0,68.4366693744,98,92,1723,40,92,65
95,2195.5,80.1655992369,99,1,1680,37,92,59
96,2245.5,80.9265737946,100,0,1697,38,93,61
97,2210.0,47.9572979649,99,1,1663,39,98,68
98,2294.5,60.723127427,97,39,1876,41,92,65
99,2159.5,79.1796850746,99,1,1650,38,93,63
