,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2311.0,742.982508402,100,0,1894,20,79,31
1,2118.5,764.64816321,99,100,1794,11,26,21
2,2243.5,879.074618269,100,0,1900,13,24,22
3,2203.5,1045.21736065,100,0,1698,13,73,23
4,2231.5,636.289601199,100,0,1784,17,64,28
5,2223.5,692.36060426,100,0,1822,18,74,31
6,2202.5,456.796011714,99,1,1822,22,98,33
7,2231.0,921.232693522,99,6,1735,14,82,24
8,2224.5,714.840863745,100,0,1848,15,54,25
9,2217.0,841.223379481,100,0,1902,17,90,27
10,2322.0,779.938687124,99,4,1728,44,94,28
11,2182.5,629.558687485,100,0,1790,16,95,26
12,2240.0,937.278596569,98,57,1825,15,38,25
13,2207.5,658.662626151,100,0,1772,18,83,30
14,2204.5,657.797297468,100,0,1775,14,27,24
15,2221.0,1079.80346347,100,0,1808,12,35,20
16,2242.0,759.681863887,100,0,1829,17,68,29
17,2186.0,750.826254855,100,0,1756,17,93,29
18,2244.5,812.388336935,100,0,1708,14,71,23
19,2246.0,967.154564079,100,0,1727,15,68,25
20,2217.5,880.677721652,99,1,1803,13,41,24
21,2209.5,701.6741589,100,0,1756,15,20,25
22,2272.5,670.968542487,100,0,1890,16,80,28
23,2268.0,854.202969422,99,2,1828,18,63,30
24,2163.5,1253.58539596,100,0,1767,13,83,24
25,2253.0,1030.45228474,99,2,1862,14,89,26
26,2261.5,859.046112102,100,0,1746,20,63,31
27,2253.5,921.828684615,100,0,1687,15,98,26
28,2162.0,694.558773774,98,67,1750,15,70,24
29,2217.5,702.98041829,100,0,1667,17,82,28
30,2231.0,987.545276348,99,1,1762,17,98,27
31,2205.5,730.121589835,100,0,1609,13,27,25
32,2204.5,994.047914032,100,0,1756,11,100,20
33,2249.0,851.035684167,100,0,1731,11,64,22
34,2126.5,535.059655776,99,96,1687,16,89,26
35,2206.0,719.09343504,99,3,1729,15,31,25
36,2221.0,920.745691469,100,0,1707,18,100,28
37,2206.5,537.997569833,100,0,1762,18,66,30
38,2188.0,1058.6808446,100,0,1778,13,94,25
39,2200.5,974.576540446,99,1,1764,14,72,25
40,2196.5,722.039644277,99,1,1690,15,98,26
41,2211.0,998.708870105,100,0,1719,17,26,26
42,2237.5,892.400500577,100,0,1844,17,98,28
43,2202.5,932.713008226,100,0,1849,14,100,26
44,2234.5,681.207912842,99,1,1842,17,87,29
45,2172.5,674.14099339,99,1,1750,16,83,26
46,2170.5,735.844560888,99,1,1740,18,95,31
47,2166.5,1076.28138271,100,0,1770,14,74,27
48,2226.0,836.265005729,100,0,1794,12,36,21
49,2206.0,647.913041644,99,1,1915,20,38,33
50,2239.0,1046.33479648,100,0,1784,15,73,26
51,2195.0,1039.83209795,99,72,1770,11,82,22
52,2278.5,582.506008011,100,0,1933,21,87,34
53,2266.0,867.919596932,100,0,1850,16,96,26
54,2227.0,776.375977252,100,0,1738,18,64,28
55,2226.5,738.222426157,99,1,1831,13,61,22
56,2203.0,503.316446111,99,1,1766,15,61,28
57,2239.5,733.254592259,99,1,1774,14,97,24
58,2234.5,861.606324161,100,0,1784,15,89,28
59,2183.0,778.815269994,100,0,1818,12,33,21
60,2228.0,753.019773785,100,0,1774,9,82,21
61,2239.5,654.912767159,100,0,1839,17,95,30
62,2222.0,598.136287175,99,1,1817,15,27,24
63,2212.5,518.055343998,99,1,1791,16,85,29
64,2134.5,731.325052729,99,2,1599,18,85,30
65,2168.5,697.326821489,99,73,1682,19,92,28
66,2244.0,666.498732726,100,0,1817,13,51,24
67,2253.5,558.663960471,100,0,1931,15,89,25
68,2190.5,657.275042171,100,0,1690,16,47,29
69,2263.5,1082.45344579,100,0,1773,14,36,25
70,2277.0,1024.10298011,99,12,1766,15,47,25
71,2217.5,947.721898915,99,1,1772,13,47,23
72,2186.5,516.496591442,99,1,1752,21,66,33
73,2238.5,850.817446305,100,0,1890,19,95,31
74,2387.5,1145.66241265,64,99,1116,202,100,26
75,2230.5,650.979882986,99,1,1780,19,37,30
76,2210.5,470.680571935,99,1,1840,19,76,31
77,2249.5,705.042769207,100,0,1726,21,99,33
78,2259.5,1011.90702281,100,0,1717,15,90,27
79,2254.0,758.482216796,100,0,1775,13,90,23
80,2176.0,746.795036872,100,0,1781,18,45,29
81,2213.0,986.116078959,100,0,1862,17,87,31
82,2134.5,576.180322217,99,1,1743,17,98,26
83,2230.5,698.305704786,100,0,1804,19,39,32
84,2208.5,848.367271731,99,1,1774,16,97,26
85,2191.5,782.136437978,100,0,1807,18,80,31
86,2184.0,679.991820325,99,1,1775,16,93,25
87,2276.5,772.722147575,100,0,1799,15,68,25
88,2218.5,772.539693754,100,0,1749,16,83,26
89,2183.5,903.757979728,100,0,1787,14,95,26
90,2198.5,611.049544097,98,17,1810,16,65,29
91,2183.5,724.609954522,100,0,1732,16,81,27
92,2211.5,594.523516041,99,2,1851,17,82,28
93,2227.5,730.963428979,99,11,1844,16,72,30
94,2230.5,863.937665553,100,0,1783,18,99,28
95,2306.0,1175.74145985,100,0,1883,55,95,20
96,2151.0,662.693283705,100,0,1720,21,82,30
97,2215.5,665.387324302,99,1,1709,16,74,26
98,2166.5,512.239239514,99,1,1780,20,86,32
99,2193.5,699.770764677,100,0,1696,16,24,27
