,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1787,28,85,51
1,99,4,1708,27,83,47
2,100,0,1768,38,87,60
3,99,1,1848,24,96,44
4,98,25,1831,34,88,57
5,99,1,1805,32,84,58
6,98,30,1709,30,94,52
7,100,0,1758,33,77,54
8,100,0,1867,25,77,46
9,99,1,1662,31,88,53
10,100,0,1818,38,96,60
11,99,1,1740,31,96,53
12,99,1,1775,33,97,50
13,100,0,1741,34,96,59
14,99,11,1653,31,99,54
15,99,1,1737,25,99,42
16,100,0,1771,27,90,56
17,99,58,1786,21,82,39
18,99,1,1753,39,81,62
19,100,0,1684,27,100,48
20,98,96,1772,30,96,54
21,100,0,1753,32,89,56
22,97,68,1687,28,98,54
23,99,31,1733,32,96,53
24,99,76,1810,27,84,49
25,99,1,1653,41,83,62
26,99,34,1593,26,98,50
27,99,74,1712,27,74,47
28,98,42,1815,28,83,46
29,100,0,1790,26,93,43
30,97,41,1761,26,95,41
31,100,0,1811,31,100,54
32,100,0,1763,32,100,52
33,100,0,1788,33,100,53
34,99,44,1704,29,95,51
35,100,0,1791,24,98,40
36,99,50,1722,26,80,49
37,99,1,1773,36,97,62
38,100,0,1735,31,98,53
39,99,91,1742,29,95,44
40,100,0,1611,39,99,59
41,99,3,1673,28,92,51
42,99,1,1845,31,100,55
43,99,75,1799,28,90,51
44,99,1,1825,30,99,57
45,100,0,1664,34,98,56
46,99,45,1761,34,96,56
47,100,0,1808,29,89,46
48,100,0,1766,35,99,54
49,98,20,1858,32,80,60
50,100,0,1643,23,99,47
51,100,0,1814,30,96,46
52,100,0,1752,61,99,50
53,99,1,1684,32,100,48
54,99,1,1908,34,89,59
55,100,0,1804,26,87,46
56,99,25,1742,32,99,51
57,99,1,1793,30,100,51
58,99,1,1666,28,99,44
59,100,0,1755,29,99,49
60,99,1,1681,34,100,58
61,99,1,1810,30,97,54
62,100,0,1770,23,87,41
63,98,81,1734,35,93,53
64,99,4,1783,30,100,54
65,99,1,1569,34,96,56
66,100,0,1748,33,99,54
67,99,36,1714,20,99,38
68,100,0,1829,27,85,47
69,99,1,1672,37,92,62
70,99,1,1631,29,98,55
71,99,82,1721,30,93,49
72,100,0,1804,28,93,51
73,100,0,1758,34,100,54
74,100,0,1814,25,88,47
75,100,0,1756,31,73,53
76,100,0,1730,25,83,46
77,99,43,1744,32,98,50
78,100,0,1795,30,97,48
79,100,0,1792,29,89,44
80,99,1,1832,33,96,56
81,99,1,1739,28,96,52
82,100,0,1842,28,89,51
83,100,0,1702,33,97,52
84,100,0,1701,31,99,50
85,99,23,1712,27,98,49
86,99,1,1764,28,79,52
87,99,1,1796,28,100,47
88,100,0,1772,26,83,46
89,99,15,1830,24,98,39
90,97,80,1658,32,92,53
91,99,1,1686,34,89,51
92,100,0,1679,25,70,46
93,100,0,1854,24,97,42
94,100,0,1847,33,94,57
95,100,0,1826,53,89,52
96,99,2,1817,32,85,48
97,99,47,1769,30,97,50
98,100,0,1777,38,98,58
99,98,24,1741,31,72,57
