,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2262.0,406.022341559,100,0,1760,47,91,78
1,2200.5,430.726497637,99,1,1774,40,98,68
2,2226.5,407.939557341,97,57,1795,36,65,59
3,2202.0,413.284085558,97,77,1672,36,100,60
4,2221.0,411.119740121,100,0,1658,38,97,62
5,2225.0,405.900780076,99,1,1681,37,93,64
6,2230.0,426.901329372,99,1,1770,33,90,57
7,2237.5,418.498222539,99,1,1860,32,89,57
8,2190.5,414.773242789,97,92,1723,47,99,73
9,2124.0,382.697443454,99,1,1650,40,82,63
10,2201.0,417.75687157,99,1,1725,34,96,59
11,2207.5,402.564298501,99,1,1771,38,81,58
12,2250.0,407.279456203,99,1,1829,37,95,62
13,2249.5,407.483659163,99,92,1735,41,96,71
14,2295.5,411.860763044,100,0,1786,43,98,69
15,2275.5,418.825148406,99,1,1850,38,97,65
16,2259.5,387.074226338,99,88,1796,32,91,55
17,2235.0,399.827412099,98,57,1800,46,97,72
18,2152.0,406.531725873,98,57,1713,44,97,69
19,2186.5,424.86065893,99,1,1808,31,78,56
20,2254.0,409.300222654,99,1,1761,45,92,68
21,2178.5,398.883996842,97,45,1604,37,95,65
22,2312.0,412.743173757,100,0,1859,38,97,64
23,2222.5,381.746083301,98,52,1648,42,72,74
24,2223.5,384.163699743,99,1,1761,46,98,75
25,2253.0,431.76382983,100,0,1795,42,96,71
26,2248.5,409.515579431,98,65,1798,44,84,73
27,2234.5,423.844512772,99,1,1691,43,94,72
28,2278.0,386.065692092,99,1,1773,41,100,66
29,2233.0,372.054395155,99,1,1796,41,94,63
30,2135.0,417.099684483,100,0,1682,36,87,58
31,2188.5,412.119964482,99,1,1738,38,100,66
32,2209.0,416.649106226,98,95,1805,36,82,57
33,2207.5,395.841496082,99,1,1636,40,100,68
34,2145.0,385.320819895,99,1,1709,38,88,64
35,2173.5,406.773407651,98,31,1731,33,93,54
36,2212.5,431.685694302,100,0,1832,27,90,48
37,2170.5,424.327014752,100,0,1704,35,86,56
38,2284.0,408.842790437,99,1,1893,32,91,53
39,2173.5,408.47603774,99,46,1705,41,92,66
40,2172.0,419.409766531,98,78,1704,46,98,71
41,2213.0,427.796750385,100,0,1772,37,97,63
42,2243.5,374.438741946,97,90,1728,39,89,69
43,2264.5,414.113720291,100,0,1738,43,95,69
44,2239.0,403.732735928,100,0,1771,42,100,69
45,2294.0,400.507183369,98,17,1836,35,95,59
46,2304.0,422.267968665,99,1,1919,39,100,69
47,2209.5,407.617098067,99,1,1624,36,99,59
48,2124.0,386.966327621,97,18,1731,35,98,62
49,2204.0,416.826529809,98,100,1752,43,100,71
50,2172.5,396.578882808,98,26,1686,47,95,71
51,2249.0,414.758394928,99,95,1846,45,100,72
52,2156.5,375.53572327,99,1,1746,47,96,77
53,2156.0,415.729288733,97,96,1697,38,100,62
54,2285.0,377.170809785,98,2,1681,43,100,74
55,2281.0,419.579906029,100,0,1757,41,92,69
56,2217.5,383.377030654,99,76,1656,38,91,60
57,2163.0,398.992191533,99,1,1563,33,94,61
58,2155.5,440.887828061,99,9,1711,38,96,64
59,2214.5,425.859231307,99,1,1722,41,99,65
60,2179.0,416.657899715,100,0,1724,36,100,64
61,2204.0,412.911035922,100,0,1857,39,96,60
62,2204.0,442.421747081,99,44,1656,34,80,55
63,2226.5,370.685429788,98,69,1610,41,100,64
64,2188.0,416.953214393,99,1,1634,42,99,72
65,2236.5,418.790184482,99,17,1752,37,97,66
66,2125.5,429.258444618,99,1,1681,30,91,57
67,2262.5,420.284796734,97,72,1770,39,82,68
68,2173.0,407.465418845,98,31,1689,41,94,66
69,2159.5,400.777226125,99,1,1665,39,97,66
70,2224.0,409.649567462,99,5,1865,40,96,67
71,2195.0,393.546796981,99,1,1761,44,95,71
72,2302.0,404.41324649,99,38,1857,38,99,62
73,2223.5,401.269582873,100,0,1725,43,93,75
74,2187.0,425.736338204,100,0,1753,39,97,65
75,2215.5,417.652316256,99,1,1824,36,80,59
76,2265.0,468.661735831,99,25,1815,81,100,63
77,2249.0,413.08160336,100,0,1789,41,85,69
78,2216.0,399.209773641,99,1,1793,35,92,59
79,2200.5,395.049137492,98,29,1795,38,90,65
80,2243.5,391.934249708,100,0,1714,47,100,75
81,2231.5,404.334622624,100,0,1707,32,93,58
82,2177.0,423.516366192,99,1,1786,35,100,63
83,2252.0,390.06074473,99,1,1704,40,98,65
84,2166.5,384.697621602,99,59,1759,45,100,70
85,2211.0,396.268863373,98,77,1689,49,99,75
86,2140.0,403.977531351,99,1,1673,38,95,58
87,2260.0,415.592721394,100,0,1769,46,100,70
88,2174.5,410.973730333,100,0,1736,36,95,60
89,2220.0,434.369610022,99,63,1808,41,99,62
90,2253.0,416.588232956,99,2,1758,50,92,77
91,2199.0,426.386755212,100,0,1677,37,95,69
92,2274.0,421.707196741,99,1,1753,39,99,68
93,2253.0,432.463874572,99,1,1749,76,97,68
94,2196.0,391.405635258,98,54,1675,35,91,64
95,2342.5,409.878211836,99,2,1840,83,99,69
96,2152.0,408.758800948,96,54,1650,39,92,63
97,2206.5,381.732026401,99,2,1794,36,86,59
98,2232.0,427.958915511,97,27,1734,40,96,65
99,2199.5,424.171157342,100,0,1782,40,93,64
