,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2138.0,80.5963071205,98,64,1754,29,92,48
1,2212.0,76.4403824727,100,0,1779,24,100,45
2,2308.5,96.042304382,99,2,1886,29,91,52
3,2253.5,62.1622452074,98,100,1675,40,96,63
4,2210.0,74.3377911931,99,78,1808,23,78,43
5,2288.5,78.9883672705,99,86,1749,30,92,54
6,2248.5,54.4486741186,97,71,1784,29,82,54
7,2241.0,47.6458780767,98,2,1761,30,86,50
8,2226.5,83.1014604063,100,0,1605,23,91,43
9,2226.5,73.659325914,100,0,1690,29,78,51
10,2252.0,102.140811724,99,6,1836,37,99,57
11,2270.0,79.8452852762,100,0,1839,26,95,45
12,2173.0,91.6854888586,100,0,1629,23,98,43
13,2153.0,56.9135687306,99,1,1665,31,93,51
14,2172.0,112.302189152,100,0,1740,27,85,50
15,2201.5,97.4764718802,99,1,1737,25,95,43
16,2274.5,55.0713880069,99,1,1711,34,93,57
17,2137.5,60.5379644162,98,34,1800,32,100,56
18,2237.5,92.2715926723,100,0,1869,29,96,53
19,2199.5,65.0990033565,99,1,1711,30,90,47
20,2295.5,126.663998533,99,84,1807,33,100,52
21,2238.0,72.7470013242,99,86,1818,23,97,41
22,2164.5,104.60822096,97,87,1744,26,100,45
23,2209.5,120.91203639,100,0,1809,29,93,55
24,2195.5,64.4027841217,97,45,1591,33,99,57
25,2202.0,162.305931157,100,0,1886,20,84,40
26,2187.5,65.1875394429,97,37,1642,33,98,55
27,2272.0,96.5370188615,100,0,1758,24,98,47
28,2297.5,89.2781204625,99,53,1656,31,94,52
29,2190.5,84.7659645586,98,52,1650,32,90,55
30,2258.0,80.6699089622,100,0,1784,26,97,45
31,2186.0,87.8398400361,98,19,1594,31,92,58
32,2221.0,90.3246292272,99,29,1750,32,88,51
33,2192.0,50.8585577877,97,22,1797,25,86,46
34,2264.5,66.3113734916,100,0,1706,31,84,56
35,2162.5,80.7852307734,99,70,1803,32,84,56
36,2195.0,47.9353562103,98,60,1849,30,99,49
37,2174.5,77.9462323159,99,1,1761,23,84,45
38,2282.0,77.1804917732,98,6,1736,34,86,61
39,2259.0,61.3174199749,98,16,1829,26,91,49
40,2225.0,68.4376087089,99,1,1720,30,97,54
41,2203.0,71.90431704,98,27,1755,28,97,51
42,2231.0,94.8283179677,100,0,1831,24,100,41
43,2287.5,65.4801359783,99,1,1790,33,99,53
44,2178.0,56.2712003558,98,7,1751,26,100,45
45,2222.5,72.9215860794,100,0,1876,26,91,47
46,2224.5,64.3611925129,100,0,1783,27,79,47
47,2270.5,109.095020967,99,6,1873,25,97,46
48,2175.5,70.1513019423,100,0,1625,27,89,44
49,2195.5,95.4052661828,99,91,1760,23,96,42
50,2246.0,88.1503463647,100,0,1883,35,80,50
51,2185.5,62.4516177203,98,33,1604,31,96,53
52,2187.0,131.958671762,99,6,1687,24,95,45
53,2219.5,55.5764960045,100,0,1724,32,91,54
54,2190.5,70.1527104871,99,10,1743,28,78,48
55,2169.5,48.563078857,97,40,1725,27,99,50
56,2211.5,57.760238016,99,1,1822,28,91,46
57,2212.5,76.6337137084,97,87,1744,25,97,43
58,2297.5,75.3926514296,98,91,1804,30,99,54
59,2204.5,51.6926691105,99,1,1691,41,98,60
60,2238.5,80.2502675235,100,0,1840,31,95,56
61,2293.0,63.0908388211,97,55,1773,28,97,48
62,2271.0,93.0906109793,100,0,1828,27,94,50
63,2208.5,52.3359206688,99,1,1715,30,88,52
64,2227.5,94.3756021592,99,2,1828,25,91,44
65,2225.0,104.272258933,99,97,1762,23,95,44
66,2193.5,74.3452371636,98,39,1663,33,98,57
67,2167.5,80.1361743223,100,0,1823,26,97,45
68,2207.0,97.6954043361,100,0,1836,24,97,43
69,2245.5,73.7551702079,99,66,1860,30,99,55
70,2187.5,84.2530332078,98,38,1759,26,100,44
71,2245.5,67.4780672969,99,1,1789,29,89,52
72,2250.5,74.1508570214,99,47,1964,30,82,49
73,2223.0,87.6411802289,100,0,1796,26,91,48
74,2220.0,57.8083370256,99,1,1797,30,98,53
75,2233.5,60.9761986221,99,10,1614,30,95,51
76,2164.0,77.442343773,100,0,1715,29,99,50
77,2237.5,73.4671406449,100,0,1810,30,81,47
78,2214.5,67.987760424,100,0,1922,26,97,45
79,2186.5,60.5597432325,99,3,1643,35,86,57
80,2272.5,78.568415622,99,3,1726,32,86,55
81,2225.0,89.3546513837,99,98,1841,37,99,55
82,2164.5,64.82466114,100,0,1618,24,79,55
83,2175.0,42.6432765037,99,1,1744,25,74,47
84,2247.0,67.254218336,99,1,1769,28,84,50
85,2223.5,96.4272715162,100,0,1758,25,90,41
86,2201.0,91.3289066769,100,0,1616,33,78,58
87,2254.0,93.7740801363,98,13,1806,27,98,47
88,2196.5,95.5658684232,100,0,1823,21,82,42
89,2208.5,57.8324006095,99,1,1740,31,100,54
90,2239.5,92.8802069759,99,1,1819,36,94,53
91,2195.5,86.5509025879,99,1,1684,26,97,50
92,2194.5,120.108394555,97,34,1626,34,91,57
93,2194.5,115.081633406,100,0,1704,18,86,43
94,2247.5,101.14173938,100,0,1830,30,98,48
95,2230.5,78.9117928402,99,60,1753,31,94,52
96,2209.5,57.8175044171,99,1,1763,34,94,54
97,2171.0,103.634832951,99,1,1650,25,87,48
98,2224.0,72.2129936829,98,84,1727,28,90,40
99,2205.0,53.548758868,99,1,1889,32,99,51
