,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2252.0,73.9717800163,97,60,1741,40,95,66
1,2221.5,73.9173534513,98,12,1754,32,100,52
2,2187.5,79.1294566145,99,1,1642,42,90,71
3,2338.0,71.2440500652,98,52,1852,78,98,68
4,2167.5,42.0819126612,99,1,1704,34,94,56
5,2226.5,92.6644038439,100,0,1784,39,100,63
6,2200.5,84.6834932179,99,1,1763,41,99,67
7,2162.0,61.2410491032,98,74,1677,38,89,61
8,2227.0,51.3267844525,99,1,1737,36,93,65
9,2222.0,55.1452034772,99,1,1790,31,89,57
10,2180.0,90.620839934,98,96,1620,41,96,67
11,2235.0,55.7143657195,98,27,1694,34,97,62
12,2195.0,51.6642618004,99,3,1660,32,97,51
13,2203.0,67.0851218754,100,0,1741,36,100,66
14,2179.5,51.2666070024,99,1,1649,37,97,61
15,2219.5,50.0031128029,99,1,1804,34,77,62
16,2193.0,81.0398173206,100,0,1761,38,99,64
17,2265.5,63.3833120292,98,10,1762,32,86,55
18,2201.0,63.5333649894,99,1,1727,32,87,53
19,2139.0,65.0782716522,99,1,1679,39,96,63
20,2223.5,91.3302807812,100,0,1680,42,94,66
21,2181.5,84.3164133947,100,0,1718,33,89,54
22,2185.0,61.773434161,99,1,1684,34,96,59
23,2225.5,63.9519568378,99,1,1856,39,90,60
24,2168.5,73.9372848264,99,1,1771,33,96,51
25,2207.5,52.7549439397,99,67,1586,31,86,57
26,2260.0,83.2072933695,100,0,1862,37,99,62
27,2212.0,53.0598048699,99,1,1757,38,99,66
28,2219.0,95.8681643976,99,82,1776,33,98,56
29,2210.5,84.5897038031,99,1,1734,41,92,66
30,2223.0,88.9660855979,99,1,1642,35,99,58
31,2194.5,68.6112879693,99,1,1877,30,88,56
32,2260.5,76.1423001814,100,0,1877,33,100,54
33,2241.5,60.8161701435,100,0,1805,26,84,44
34,2259.0,56.680916551,98,8,1889,38,86,63
35,2246.0,76.8907845339,99,1,1861,35,97,56
36,2222.0,81.4161200228,98,85,1714,43,97,61
37,2194.5,53.5434110829,99,1,1741,24,95,43
38,2188.5,63.7587815229,97,13,1696,41,94,66
39,2273.5,65.3021812959,100,0,1820,35,96,58
40,2235.5,61.5709812627,98,7,1671,46,95,71
41,2243.0,70.0667683115,100,0,1853,33,91,53
42,2182.5,92.4416319386,99,36,1831,34,90,57
43,2232.5,74.2943761531,100,0,1666,39,95,62
44,2217.0,62.9417811052,100,0,1784,36,99,61
45,2163.5,62.4523395446,99,2,1672,41,95,68
46,2221.0,78.8943413929,99,1,1727,35,94,61
47,2259.0,56.2724854354,99,1,1878,43,97,68
48,2266.0,75.6634698054,98,80,1800,37,94,62
49,2292.5,63.5428567334,100,0,1781,40,97,66
50,2206.5,62.1258739541,97,71,1664,45,97,70
51,2259.5,54.0730292145,100,0,1748,34,91,61
52,2288.0,87.3511516316,98,30,1640,37,93,65
53,2276.0,56.4800766365,100,0,1869,39,99,73
54,2317.0,77.5558610283,99,31,1798,52,100,66
55,2196.0,55.8199401081,99,65,1757,35,96,55
56,2251.5,47.6065109225,99,1,1749,42,90,63
57,2197.5,53.0929514539,98,3,1676,37,100,65
58,2206.5,47.2432627425,99,1,1718,32,95,54
59,2178.0,83.986635047,100,0,1669,32,73,58
60,2198.5,70.494179357,99,100,1639,33,100,55
61,2236.5,65.3065417328,100,0,1927,39,97,62
62,2277.5,66.3334828591,100,0,1812,34,100,58
63,2202.0,66.3459410007,99,85,1699,41,97,66
64,2246.5,58.4320856213,99,1,1740,40,96,67
65,2267.5,66.3470058374,99,1,1844,37,99,64
66,2164.5,99.5273483668,98,54,1800,41,88,65
67,2236.0,87.1676679198,99,1,1842,34,89,58
68,2249.0,54.5819910351,100,0,1621,41,97,69
69,2279.5,50.7764200386,100,0,1854,33,88,60
70,2242.5,67.1875833736,99,1,1684,33,91,60
71,2238.5,69.3916908384,98,52,1622,27,97,52
72,2190.0,75.5346817727,98,47,1668,33,62,60
73,2154.0,81.023658618,99,1,1660,37,97,70
74,2195.5,75.8440370025,97,51,1691,37,95,65
75,2248.0,76.0622191067,99,11,1735,37,100,57
76,2285.5,64.1222596915,100,0,1728,32,93,58
77,2161.5,48.1653056597,99,1,1883,29,91,55
78,2208.0,66.8419602367,98,24,1756,39,92,67
79,2233.5,82.4351010014,95,91,1687,40,99,66
80,2250.0,53.0339204225,98,2,1679,36,88,66
81,2214.0,66.7569367392,99,1,1669,41,99,67
82,2215.5,64.0508480111,98,3,1722,30,97,53
83,2194.0,81.7789664425,98,17,1687,40,99,65
84,2205.5,52.4792534202,98,34,1748,40,96,68
85,2222.5,66.5128071601,99,18,1773,34,95,56
86,2249.5,69.9946256131,98,43,1771,38,98,54
87,2242.0,67.2907514709,99,1,1745,34,98,55
88,2342.0,85.6525597613,97,38,1753,41,90,64
89,2238.5,65.5151790647,98,71,1752,38,98,63
90,2294.0,89.1038658061,99,22,1623,63,92,71
91,2205.5,60.5684184209,100,0,1765,38,85,63
92,2213.0,62.0757616157,99,2,1662,36,96,55
93,2175.0,53.6652087878,99,1,1726,31,93,53
94,2227.0,100.489104118,99,88,1695,54,98,58
95,2227.5,56.9168754305,100,0,1808,33,94,59
96,2264.0,63.1067935272,99,6,1704,38,92,66
97,2254.0,80.3948414218,99,59,1795,28,88,53
98,2205.0,77.3221672386,100,0,1725,33,94,54
99,2180.0,83.0259661686,100,0,1701,34,90,66
