,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2155.5,71.36983017,99,1,1676,42,93,70
1,2201.5,82.7867175019,99,1,1724,31,100,52
2,2205.0,49.0625050541,99,1,1694,35,88,59
3,2224.0,63.3222784732,98,27,1745,36,96,60
4,2291.5,78.6712219201,99,1,1727,40,86,70
5,2189.5,62.1230906841,98,43,1750,42,98,71
6,2264.5,78.4408903068,97,39,1754,44,98,70
7,2183.5,55.6882666674,98,31,1740,35,88,59
8,2217.0,68.1742309778,98,99,1723,36,99,58
9,2256.0,56.6371736232,98,81,1779,35,100,57
10,2183.5,58.5287178551,100,0,1734,43,93,66
11,2155.5,60.1840532974,99,1,1631,38,97,66
12,2260.0,50.9775684893,100,0,1675,42,100,67
13,2176.5,62.226245511,99,1,1796,44,96,71
14,2181.0,86.4506036801,99,2,1729,32,93,52
15,2155.0,43.0117717215,98,5,1649,39,87,61
16,2275.0,58.0595549388,99,18,1806,38,94,64
17,2212.0,76.902153622,99,2,1847,43,95,72
18,2221.0,49.7874126445,98,44,1818,36,92,61
19,2153.0,62.0707641918,99,4,1759,45,76,69
20,2276.5,49.346995302,100,0,1718,39,96,65
21,2182.5,59.5858861469,100,0,1722,38,92,61
22,2220.0,52.4454989093,99,1,1710,28,95,46
23,2188.5,93.9291103746,99,34,1807,41,100,69
24,2207.5,62.0944769649,100,0,1724,33,91,54
25,2223.5,57.4636923357,100,0,1735,45,100,77
26,2213.0,62.9592788323,99,1,1788,40,94,65
27,2194.0,69.1817105672,99,1,1671,48,99,74
28,2164.0,67.4142225196,99,3,1715,38,94,62
29,2226.0,49.9453542023,96,41,1733,33,87,55
30,2185.5,83.675774911,99,85,1721,40,97,66
31,2236.5,46.3883117172,99,1,1712,40,86,64
32,2181.5,74.9413694108,99,1,1707,36,89,59
33,2275.0,87.1397004714,98,32,1856,30,73,52
34,2212.5,59.8076756543,99,1,1843,36,84,64
35,2260.5,81.5609865773,98,24,1729,46,97,73
36,2231.5,61.3468549028,97,41,1707,42,99,65
37,2178.5,43.5475788307,99,1,1678,37,95,65
38,2172.0,79.5089589488,98,34,1784,38,94,65
39,2273.5,64.0250101344,99,21,1668,36,99,61
40,2196.0,60.5207178193,100,0,1714,35,96,59
41,2211.5,65.1256008276,97,21,1751,36,99,63
42,2162.0,67.7339719712,98,26,1696,45,98,61
43,2219.5,72.01198186,97,62,1722,43,94,74
44,2246.0,58.830083467,99,1,1705,33,89,54
45,2174.0,83.216135484,99,5,1729,37,100,60
46,2213.5,41.724240743,99,1,1714,38,86,62
47,2190.5,59.3312503729,99,1,1793,37,97,65
48,2172.5,54.3720802828,98,5,1707,39,98,61
49,2240.5,71.3525829137,99,11,1832,27,96,51
50,2248.0,72.0159670841,99,26,1835,45,83,68
51,2295.5,68.7511035885,100,0,1742,49,96,66
52,2213.5,86.5507433259,99,1,1811,35,91,60
53,2314.5,46.006492386,99,1,1810,34,100,58
54,2189.5,52.2125706418,99,1,1782,36,93,64
55,2222.5,81.0251042696,99,2,1720,41,99,72
56,2241.5,56.6156096794,99,1,1763,36,95,61
57,2195.0,79.608757256,99,1,1691,43,94,74
58,2215.0,98.5055108467,99,18,1738,35,93,62
59,2222.5,86.3156235312,99,1,1707,37,96,64
60,2217.0,75.4883077814,100,0,1715,39,96,65
61,2155.5,74.2139254458,100,0,1719,30,90,51
62,2175.5,50.0532795265,98,23,1716,35,97,61
63,2272.5,55.8067594991,98,25,1697,45,93,73
64,2275.5,82.0245020506,96,65,1781,36,99,57
65,2221.5,54.6951416511,99,2,1668,47,98,75
66,2221.5,76.6434945151,99,1,1742,40,95,67
67,2337.0,80.7853322634,100,0,1743,40,97,69
68,2138.5,59.6368497158,99,36,1710,32,90,57
69,2246.5,58.9315729576,98,40,1771,37,95,64
70,2216.5,60.4578501664,99,89,1781,38,100,59
71,2234.0,74.1882672581,99,1,1829,42,92,64
72,2158.5,75.2422025307,99,35,1693,33,98,50
73,2185.5,82.3760808289,99,2,1804,43,96,69
74,2216.0,74.0632347689,100,0,1605,34,85,54
75,2208.5,69.9787411587,99,28,1759,46,92,71
76,2238.5,63.4264829778,97,63,1737,39,98,67
77,2200.5,70.964853822,99,88,1682,38,98,69
78,2229.5,78.0333499742,99,1,1690,41,94,69
79,2138.5,53.3487322352,99,1,1702,43,100,69
80,2191.5,59.1911764635,99,48,1680,51,96,73
81,2213.0,79.1979528385,98,25,1798,38,92,64
82,2232.0,55.7051722745,99,3,1810,38,95,67
83,2170.5,49.0798697501,100,0,1768,36,99,60
84,2209.0,52.9564279048,99,12,1647,36,98,60
85,2268.5,56.6406298803,99,1,1683,39,98,63
86,2247.5,55.2330595347,99,1,1795,40,98,63
87,2165.5,57.8375955073,98,94,1773,40,98,63
88,2203.0,81.3067841422,98,96,1714,41,98,68
89,2279.0,82.459288285,97,74,1669,46,93,76
90,2198.0,56.5731644507,97,57,1704,46,97,71
91,2189.5,48.6308475051,99,1,1668,39,91,70
92,2193.5,67.4805756838,99,1,1763,47,95,73
93,2168.5,72.9815379757,99,1,1725,35,98,56
94,2191.0,61.0690843852,99,2,1701,42,98,67
95,2213.0,87.8682840112,98,94,1773,38,94,63
96,2239.5,60.8815289917,98,24,1811,33,93,56
97,2216.5,64.7995523722,99,1,1754,34,99,58
98,2181.5,50.63443475,100,0,1778,45,74,71
99,2211.0,66.3257882818,99,12,1695,43,94,69
