,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1770,45,92,76
1,99,1,1785,38,92,60
2,98,2,1591,31,97,53
3,99,1,1628,37,100,59
4,100,0,1571,45,99,69
5,100,0,1923,33,96,56
6,100,0,1834,31,96,56
7,99,1,1844,34,95,64
8,99,1,1768,37,98,64
9,98,54,1816,45,98,74
10,99,1,1681,37,97,64
11,99,1,1738,35,94,58
12,99,1,1590,36,88,63
13,100,0,1940,37,96,62
14,98,49,1783,41,97,67
15,100,0,1751,35,95,60
16,99,1,1629,33,95,60
17,100,0,1918,45,88,72
18,98,60,1710,39,85,64
19,100,0,1693,32,98,59
20,100,0,1730,32,88,57
21,99,1,1689,41,100,67
22,98,23,1834,34,97,58
23,94,87,1534,125,99,79
24,99,1,1774,29,100,53
25,98,54,1758,46,98,72
26,93,100,1572,149,100,76
27,99,1,1751,34,100,57
28,97,48,1507,37,99,59
29,99,1,1737,42,99,66
30,99,1,1695,32,99,58
31,99,1,1658,37,81,64
32,97,97,1782,36,100,65
33,100,0,1871,30,96,59
34,98,14,1726,38,88,63
35,100,0,1663,43,100,71
36,99,1,1813,41,85,72
37,100,0,1821,76,100,68
38,100,0,1806,43,99,66
39,98,31,1729,42,92,72
40,98,37,1720,37,89,62
41,99,1,1673,42,97,67
42,100,0,1759,31,72,54
43,88,99,1392,246,99,82
44,100,0,1792,74,98,60
45,100,0,1813,36,96,59
46,98,4,1801,31,92,56
47,98,68,1842,44,99,73
48,100,0,1773,34,95,59
49,99,1,1675,43,99,71
50,98,3,1841,31,91,54
51,100,0,1771,37,100,62
52,99,1,1684,39,95,67
53,100,0,1786,42,91,70
54,99,17,1781,48,96,80
55,100,0,1615,41,94,69
56,100,0,1719,28,99,46
57,97,93,1582,43,96,77
58,100,0,1840,38,100,60
59,99,1,1761,37,84,66
60,63,99,1067,228,99,91
61,99,10,1807,41,91,66
62,99,1,1720,33,96,59
63,98,67,1767,35,98,61
64,97,75,1721,42,89,67
65,100,0,1657,40,96,72
66,98,2,1768,37,100,67
67,99,1,1762,31,88,54
68,99,13,1803,46,97,79
69,100,0,1806,37,97,62
70,98,9,1655,49,96,81
71,100,0,1706,43,98,72
72,99,25,1744,40,96,68
73,99,43,1721,37,95,59
74,99,1,1741,48,99,81
75,99,1,1903,28,97,47
76,100,0,1821,38,100,68
77,98,100,1782,41,100,69
78,99,1,1814,37,98,62
79,99,1,1772,33,90,55
80,98,63,1763,34,79,58
81,99,1,1821,50,100,78
82,98,90,1788,40,90,65
83,99,12,1700,39,98,64
84,98,76,1717,46,93,80
85,98,46,1780,43,97,72
86,98,72,1671,39,100,62
87,100,0,1770,39,98,66
88,100,0,1791,38,92,65
89,99,2,1663,45,92,74
90,100,0,1690,33,92,53
91,100,0,1735,32,95,55
92,100,0,1794,38,70,63
93,100,0,1670,81,99,76
94,99,75,1628,41,76,69
95,99,21,1884,37,94,60
96,98,99,1770,39,95,66
97,100,0,1819,32,84,55
98,98,2,1808,38,98,64
99,99,1,1849,34,93,61
