,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2340.0,79.4909541615,100,0,1892,30,85,51
1,2235.0,53.1127513859,99,1,1885,28,89,52
2,2234.5,72.6649071976,100,0,1760,27,94,48
3,2228.5,69.8217478425,100,0,1780,32,79,56
4,2207.5,113.576880044,98,21,1597,33,91,59
5,2216.5,83.9345141944,100,0,1822,24,81,47
6,2322.5,87.5387634836,99,1,1975,23,98,42
7,2203.5,74.2328902866,99,1,1736,35,80,57
8,2211.5,56.2544963812,98,3,1727,30,89,53
9,2249.5,73.031800734,100,0,1749,32,96,55
10,2257.5,89.123880301,100,0,1727,32,95,56
11,2162.5,94.9029998013,100,0,1623,30,100,50
12,2239.5,61.8504403187,99,9,1687,37,85,60
13,2195.0,63.3290073431,100,0,1748,34,91,56
14,2184.5,102.344511701,99,23,1685,35,99,57
15,2224.5,61.2283933624,99,1,1755,25,99,46
16,2221.0,40.2131951815,99,1,1770,31,85,58
17,2234.0,79.5249685437,98,83,1781,29,90,47
18,2244.5,69.8745388796,99,1,1687,33,87,54
19,2080.5,157.52870759,93,95,1646,99,100,48
20,2180.5,55.4477301701,99,1,1737,28,90,57
21,2209.5,80.3476198582,99,6,1695,25,80,45
22,2271.0,76.7648726911,99,40,1729,33,95,55
23,2221.0,55.8254356204,99,12,1678,37,90,63
24,2220.5,55.8096761184,99,95,1895,35,84,59
25,2226.0,99.1970565989,99,1,1785,30,94,54
26,2182.5,69.9892507383,98,93,1733,32,96,52
27,2215.0,56.8258909289,99,1,1630,44,100,64
28,2247.5,70.8849308607,100,0,1640,25,95,48
29,2217.5,91.1076283424,100,0,1749,25,84,43
30,2219.5,64.3872087197,100,0,1777,32,84,57
31,2201.0,81.7038669827,100,0,1673,25,99,49
32,2253.0,68.7883035254,99,1,1768,34,95,50
33,2251.0,86.5152227006,100,0,1891,36,94,59
34,2214.0,58.3845318993,99,41,1789,30,88,50
35,2304.5,49.9141733826,99,43,1777,37,100,59
36,2186.0,87.9461821179,99,1,1722,33,78,58
37,2237.0,62.0155033014,99,2,1761,34,99,56
38,2270.0,68.9343849047,99,9,1833,38,76,61
39,2237.5,77.5169068647,100,0,1667,29,98,45
40,2298.5,122.297053913,99,63,1822,27,96,47
41,2209.5,68.4112682764,99,1,1642,32,95,59
42,2194.0,109.672601493,99,17,1806,33,94,51
43,2241.5,65.0182237824,99,1,1872,31,90,49
44,2293.5,60.6605440054,100,0,1585,31,87,51
45,2291.0,60.1190049449,100,0,1753,32,100,53
46,2174.0,82.2579703048,97,88,1770,31,86,56
47,2229.0,94.9578214416,100,0,1771,25,96,45
48,2242.0,83.6451815211,100,0,1727,27,86,47
49,2267.5,80.7302632837,98,93,1794,32,93,53
50,2199.0,61.8344412006,100,0,1833,25,88,47
51,2215.5,74.5676498079,100,0,1852,32,87,54
52,2195.0,97.690815653,100,0,1844,21,63,36
53,2180.5,78.5601310482,99,53,1823,31,91,52
54,2221.0,101.639103612,100,0,1874,31,75,51
55,2245.5,74.1392374069,99,1,1770,37,96,63
56,2240.0,76.3376376448,100,0,1863,23,98,41
57,2263.5,65.1245943194,99,1,1807,30,91,51
58,2206.0,110.985283922,100,0,1845,24,76,48
59,2243.5,86.4921364146,99,70,1786,26,71,41
60,2159.0,83.6959996474,99,44,1688,31,97,53
61,2276.5,79.8681394819,99,43,1792,24,98,50
62,2263.0,56.9277263589,99,12,1822,27,73,48
63,2224.0,96.3174851688,100,0,1751,27,96,55
64,2265.0,69.3676957627,100,0,1748,35,93,56
65,2224.0,94.1517838834,100,0,1649,26,96,49
66,2275.0,76.0374619113,100,0,1844,27,95,51
67,2229.5,79.1027038131,100,0,1701,30,94,49
68,2262.5,55.0744317946,100,0,1733,33,96,52
69,2182.0,56.8566518119,99,1,1780,30,95,51
70,2290.5,78.5097737022,100,0,1894,36,85,57
71,2237.0,79.9870135426,100,0,1577,36,79,61
72,2231.0,94.3141204593,99,1,1744,25,100,47
73,2178.0,48.2563057401,97,25,1762,41,92,61
74,2188.0,79.0911229183,98,76,1751,33,81,56
75,2308.0,80.5302665817,65,99,1093,209,99,64
76,2143.5,69.299136823,98,27,1780,30,99,50
77,2289.0,78.2960477933,100,0,1741,33,100,50
78,2207.5,76.9727562559,99,84,1712,32,96,59
79,2173.5,95.0710709125,100,0,1771,27,96,51
80,2154.5,91.9357475991,100,0,1658,20,96,37
81,2235.0,71.4799445896,100,0,1835,34,100,56
82,2228.0,83.7653655436,99,4,1758,33,74,59
83,2197.0,86.7579452228,100,0,1672,38,98,63
84,2209.0,64.0970566334,98,64,1486,32,86,56
85,2308.0,96.874061236,73,100,1312,165,100,50
86,2281.0,122.823143615,100,0,1753,25,100,45
87,2362.5,53.2401246305,66,98,1176,208,98,59
88,2222.5,56.8876356162,100,0,1803,31,82,49
89,2247.0,58.2316261603,98,81,1811,25,93,46
90,2220.0,79.7057817563,100,0,1793,29,94,53
91,2239.5,88.7169727279,100,0,1809,32,88,50
92,2210.5,52.2510475335,98,4,1699,32,98,54
93,2204.5,106.330739831,100,0,1825,22,94,40
94,2154.5,52.6478088404,100,0,1664,30,98,53
95,2282.5,78.5332975681,100,0,1723,28,79,47
96,2258.5,71.7741076676,98,87,1816,31,96,54
97,2220.5,92.2727807238,100,0,1732,25,99,50
98,2202.0,61.6715303448,99,23,1794,27,100,47
99,2216.0,64.0271242976,99,1,1733,32,97,54
