,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1890,0,0,25
1,100,0,1856,0,0,27
2,100,0,1813,0,0,22
3,100,0,1817,0,0,23
4,100,0,1746,0,0,21
5,100,0,1841,0,0,24
6,100,0,1697,0,0,22
7,100,0,1827,0,0,23
8,100,0,1821,0,0,24
9,100,0,1779,0,0,20
10,99,70,1646,0,0,27
11,100,0,1861,0,0,25
12,100,0,1860,0,0,20
13,100,0,1800,0,0,22
14,100,0,1908,0,0,24
15,100,0,1802,0,0,22
16,100,0,1879,0,0,25
17,100,0,1715,0,0,24
18,100,0,1822,0,0,23
19,100,0,1839,0,0,29
20,100,0,1830,0,0,24
21,100,0,1706,0,0,24
22,100,0,1671,0,0,22
23,100,0,1785,0,0,26
24,100,0,1836,0,0,27
25,100,0,1813,0,0,25
26,100,0,1819,0,0,24
27,100,0,1714,0,0,26
28,100,0,1803,0,0,22
29,100,0,1910,0,0,20
30,100,0,1604,0,0,24
31,100,0,1857,0,0,21
32,100,0,1944,0,0,19
33,100,0,1774,0,0,25
34,100,0,1816,0,0,22
35,99,91,1726,0,0,24
36,100,0,1892,0,0,23
37,100,0,1904,0,0,21
38,100,0,1708,0,0,26
39,100,0,1759,0,0,18
40,99,1,1681,0,0,21
41,100,0,1814,0,0,19
42,99,27,1804,0,0,25
43,100,0,1908,0,0,21
44,100,0,1818,0,0,24
45,100,0,1887,0,0,18
46,100,0,1742,0,0,24
47,100,0,1826,0,0,23
48,100,0,1691,0,0,22
49,100,0,1635,0,0,26
50,100,0,1846,0,0,29
51,100,0,1772,0,0,26
52,100,0,1768,0,0,24
53,99,58,1740,0,0,30
54,100,0,1811,0,0,28
55,100,0,1770,0,0,25
56,100,0,1804,0,0,21
57,100,0,1826,0,0,23
58,100,0,1679,0,0,20
59,100,0,1924,0,0,23
60,100,0,1893,0,0,21
61,100,0,1804,0,0,23
62,100,0,1795,0,0,23
63,100,0,1707,0,0,27
64,100,0,1884,0,0,26
65,100,0,1758,0,0,21
66,99,34,1870,0,0,26
67,99,100,1723,0,0,24
68,100,0,1810,0,0,24
69,100,0,1817,0,0,23
70,100,0,1832,0,0,26
71,100,0,1830,0,0,24
72,100,0,1709,0,0,26
73,100,0,1885,0,0,23
74,100,0,1761,0,0,24
75,100,0,1752,0,0,24
76,100,0,1897,0,0,21
77,100,0,1856,0,0,20
78,100,0,1807,0,0,20
79,99,59,1786,0,0,22
80,100,0,1655,0,0,29
81,100,0,1843,0,0,23
82,100,0,1866,0,0,22
83,100,0,1684,0,0,22
84,100,0,1788,0,0,27
85,100,0,1747,0,0,24
86,99,10,1798,0,0,24
87,100,0,1790,0,0,23
88,100,0,1812,0,0,23
89,100,0,1967,0,0,26
90,100,0,1854,0,0,26
91,100,0,1903,0,0,23
92,100,0,1746,0,0,25
93,100,0,1796,0,0,22
94,100,0,1850,0,0,23
95,100,0,1836,0,0,23
96,100,0,1670,0,0,22
97,100,0,1767,0,0,21
98,100,0,1729,0,0,24
99,99,94,1898,0,0,22
