(('green', 'left', None, 'forward'), 'right'):-0.00384615384615
(('green', 'left', None, 'left'), None):0.0
(('red', None, 'forward', 'forward'), 'right'):-0.000623441396509
(('red', 'left', None, 'forward'), 'forward'):-0.0077519379845
(('green', None, 'left', 'forward'), 'forward'):0.00158982511924
(('red', None, None, 'forward'), None):0.0
(('green', None, 'forward', 'forward'), 'right'):-0.000789889415482
(('green', 'right', None, 'forward'), 'right'):-0.000539956803456
(('green', None, None, 'forward'), 'left'):-0.0217391304348
(('red', 'left', None, 'forward'), 'left'):-0.00438596491228
(('red', None, None, 'right'), None):0.0
(('green', 'left', None, 'left'), 'forward'):-0.000695410292072
(('green', 'left', None, 'left'), 'right'):-0.00224215246637
(('red', None, None, 'left'), 'left'):-0.166666666667
(('red', 'left', None, 'forward'), None):0.0
(('red', 'left', None, 'right'), 'left'):-0.00284090909091
(('red', 'forward', None, 'forward'), 'forward'):-0.00869565217391
(('red', None, None, 'left'), None):0.0
(('red', None, None, 'right'), 'right'):0.737041822147
(('red', 'left', None, 'right'), 'right'):-0.0028328611898
(('green', 'right', None, 'forward'), None):0.0
(('red', None, None, 'right'), 'left'):-0.05
(('red', 'forward', None, 'forward'), None):0.0
(('red', 'left', None, 'forward'), 'right'):-0.00434782608696
(('green', None, None, 'forward'), 'forward'):2.6359050226
(('green', 'left', None, 'forward'), 'forward'):0.0111266108675
(('red', None, 'right', 'forward'), 'forward'):-0.0016393442623
(('red', None, None, 'left'), 'right'):-0.125
(('green', None, None, 'right'), 'left'):-0.1
(('red', 'forward', None, 'forward'), 'right'):-0.00087260034904
(('green', 'right', None, 'forward'), 'left'):-0.04
(('green', None, None, 'right'), None):0.0
(('green', None, 'forward', 'left'), 'forward'):-0.000788643533123
(('green', None, None, 'left'), 'forward'):-0.00980392156863
(('green', None, None, 'forward'), None):0.0
(('red', None, 'right', 'forward'), None):0.0
(('red', None, None, 'forward'), 'right'):-0.166666666667
(('green', 'left', None, 'forward'), 'left'):-0.000751879699248
(('green', None, None, 'right'), 'right'):0.782820235847
(('green', 'left', None, 'right'), 'right'):0.00564971751412
(('green', None, 'left', 'forward'), 'right'):-0.00046904315197
(('red', None, 'left', 'forward'), 'right'):-0.000602409638554
(('green', None, None, 'left'), None):0.0
(('red', None, None, 'forward'), 'left'):-1.0
(('red', None, 'forward', 'forward'), 'forward'):-0.00106269925611
(('red', 'left', None, 'right'), None):0.0
(('green', 'left', None, 'right'), 'forward'):-0.00409836065574
(('green', None, None, 'right'), 'forward'):-0.0294117647059
(('red', None, 'forward', 'left'), 'right'):-0.000793650793651
(('red', 'left', None, 'right'), 'forward'):-0.00285714285714
(('red', 'forward', None, 'forward'), 'left'):-0.00877192982456
(('green', 'forward', None, 'left'), None):0.0
(('red', 'right', None, 'forward'), 'left'):-0.00323624595469
(('green', None, 'left', 'right'), 'right'):0.00201207243461
(('green', None, 'forward', 'forward'), None):0.0
(('green', None, None, 'forward'), 'right'):-0.0357142857143
(('red', None, None, 'forward'), 'forward'):-0.5
(('green', None, 'forward', 'forward'), 'left'):-0.00049115913556
(('red', None, 'left', 'forward'), 'left'):-0.0014245014245
(('red', None, None, 'right'), 'forward'):-0.0625
(('green', None, None, 'left'), 'right'):-0.0333333333333
(('green', 'left', None, 'forward'), None):0.0
(('green', None, None, 'left'), 'left'):0.923216360332
(('green', None, 'forward', 'forward'), 'forward'):0.0150658211375
(('green', 'left', 'right', 'forward'), 'left'):-0.0015873015873
(('red', None, None, 'left'), 'forward'):-0.125
(('green', None, 'right', 'forward'), None):0.0
