,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,31.5,-3.7383689537,21,100,379,1623,100,78
1,182.0,-11.1921959588,32,100,387,1500,100,80
2,24.5,-1.07860398711,24,98,348,1570,100,86
3,-57.0,-2.3130054976,18,99,231,1643,100,73
4,19.0,-1.43554253958,21,100,294,1617,100,88
5,33.0,-0.219256698389,20,100,310,1476,100,80
6,60.5,0.6375955177,23,98,256,1627,100,78
7,-5.0,-15.0501393525,21,99,350,1540,100,89
8,175.5,4.23922791382,26,100,394,1451,100,77
9,58.5,7.3412131394,24,99,238,1501,100,86
10,-45.5,4.35664878684,13,100,139,1659,100,88
11,45.5,-11.8208891646,21,100,271,1564,100,75
12,44.0,-9.57840475708,22,100,388,1564,100,83
13,-63.0,7.54144247805,16,100,249,1744,100,97
14,-13.5,-18.4049452606,20,100,359,1565,100,88
15,36.0,-13.682002866,22,100,399,1529,100,88
16,-54.0,-15.2742140164,17,100,322,1587,100,92
17,22.0,-18.3456245459,20,100,328,1628,100,82
18,-31.0,6.19105253495,20,100,349,1640,100,76
19,87.0,-1.05639545632,21,99,283,1655,100,84
20,-97.0,15.623584549,17,100,248,1631,100,86
21,29.5,-14.1396333973,19,100,232,1555,100,87
22,13.0,1.43454687209,17,100,183,1637,100,85
23,-105.5,15.7919508719,15,100,226,1656,100,81
24,44.0,-5.71143030616,19,99,286,1533,100,73
25,57.5,19.6749352639,21,100,264,1549,100,89
26,75.0,-18.534024385,19,100,267,1502,100,80
27,106.0,7.76804811185,26,100,319,1568,100,73
28,-92.5,8.91785960152,15,100,229,1588,100,85
29,-37.0,-16.140770134,18,100,268,1587,100,90
30,-60.5,-13.8834879041,19,100,273,1614,100,85
31,28.0,30.4726972624,19,100,284,1660,100,84
32,-49.0,-14.2287954382,12,99,158,1593,100,81
33,18.0,-1.00407268419,18,100,325,1489,100,89
34,71.0,-10.2543196397,19,100,241,1475,100,80
35,-5.0,6.908020688,18,100,325,1516,100,78
36,-2.5,-16.4379187582,17,100,247,1571,100,83
37,128.5,9.28995957799,24,99,272,1559,100,82
38,11.5,-20.1038868003,15,100,251,1660,100,92
39,62.0,31.3053301811,21,99,293,1526,100,75
40,-34.5,-10.8491986567,15,100,232,1592,100,80
41,-81.0,33.7437032492,18,100,311,1599,100,95
42,44.0,-16.8988222647,21,100,247,1645,100,96
43,57.5,-12.6850211124,22,100,305,1583,100,82
44,-172.5,-15.8553282926,17,100,337,1580,100,79
45,-74.5,8.72640746855,15,100,135,1729,100,86
46,125.5,-13.865662352,22,100,304,1599,100,95
47,-22.0,13.802814634,21,100,292,1606,100,86
48,-62.0,-10.8431514755,17,100,233,1622,100,84
49,33.0,15.8033529378,20,100,309,1551,100,85
50,11.5,-6.87701816445,27,100,402,1575,100,92
51,-5.5,7.22093338112,20,100,365,1432,100,76
52,0.0,2.8081206335,20,99,292,1596,100,78
53,16.5,0.289178143167,15,100,208,1604,100,83
54,-90.5,-11.0508032667,18,100,316,1556,100,78
55,190.0,8.62966339393,24,100,361,1417,100,76
56,201.5,-6.93928454222,26,100,468,1465,100,83
57,4.0,11.9882477406,17,100,221,1674,100,86
58,-152.0,-13.8827571025,15,100,170,1731,100,62
59,-16.0,-4.7611776208,18,100,303,1592,100,75
60,98.0,-3.25444635948,28,100,382,1449,100,75
61,81.0,0.0353709757403,26,99,398,1542,100,86
62,-21.5,12.5225336605,17,100,266,1566,100,71
63,163.5,-3.50735294727,24,100,417,1537,100,76
64,-12.0,-24.2759228738,18,100,220,1557,100,80
65,80.0,15.4557663506,25,100,338,1618,100,89
66,-82.0,10.7127358671,14,99,238,1558,100,67
67,25.0,33.846331907,19,99,300,1570,100,89
68,47.0,15.4785029309,22,100,302,1538,100,76
69,-31.0,0.52489320134,13,100,160,1629,100,92
70,99.0,21.3516138821,22,100,336,1488,100,80
71,-0.5,-12.0585705623,22,98,355,1564,100,79
72,141.5,11.1151199736,24,99,335,1412,100,81
73,36.0,-18.3916346769,20,98,348,1534,100,82
74,-110.0,-7.74734820694,21,100,352,1662,100,78
75,-56.0,-2.5641492996,19,100,250,1646,100,87
76,141.0,21.0348497861,29,100,491,1459,100,89
77,-176.5,-3.34330155927,14,100,210,1745,100,94
78,85.0,-2.05755882286,19,100,221,1555,100,86
79,62.0,7.44372002321,23,99,298,1582,100,98
80,127.5,-14.4632316323,22,100,310,1520,100,88
81,55.5,6.50257384422,24,99,313,1555,99,73
82,-92.5,-13.5275199318,18,100,306,1586,100,80
83,165.0,-2.57730685136,32,100,486,1468,100,80
84,-9.5,-6.77572715538,21,100,291,1620,100,82
85,166.0,-14.0663247644,22,100,279,1513,100,87
86,-14.0,-1.95243359539,18,100,290,1656,100,90
87,-43.5,8.37499073271,19,99,256,1648,100,92
88,53.0,3.07931926275,25,100,398,1513,100,84
89,-113.5,-16.9264351695,12,100,172,1497,100,86
90,-38.5,-10.0473184825,14,100,196,1667,100,83
91,13.5,-13.531287607,17,100,239,1652,100,86
92,58.5,-7.17401537505,23,100,360,1581,100,79
93,-46.0,-5.24340910002,17,100,222,1744,100,81
94,114.0,-3.36934031516,22,100,344,1518,100,89
95,102.0,8.6136684848,22,100,236,1598,100,83
96,-6.5,-17.9434033227,23,100,378,1612,100,76
97,90.0,-0.885247175413,22,100,396,1606,100,84
98,112.0,-16.7012769177,20,99,333,1470,100,86
99,-191.0,-13.1327354132,19,100,297,1625,100,82
