,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,97,68,1711,34,88,56
1,100,0,1808,34,92,60
2,100,0,1746,37,92,59
3,100,0,1702,24,84,45
4,100,0,1736,27,99,51
5,99,3,1808,21,87,41
6,100,0,1787,22,95,43
7,98,7,1611,34,99,56
8,99,1,1727,31,100,51
9,98,64,1777,27,98,48
10,100,0,1821,31,98,56
11,100,0,1813,27,93,54
12,99,2,1869,32,100,52
13,100,0,1683,31,97,54
14,100,0,1807,31,100,56
15,99,1,1853,30,95,51
16,100,0,1764,32,97,56
17,99,69,1891,61,99,43
18,99,1,1847,34,93,56
19,95,92,1671,30,85,50
20,100,0,1755,29,91,52
21,100,0,1901,15,68,34
22,100,0,1888,33,98,57
23,67,100,1109,219,100,73
24,100,0,1763,25,71,47
25,98,86,1601,70,95,52
26,99,4,1893,32,94,52
27,99,1,1779,33,100,57
28,100,0,1860,32,95,53
29,98,52,1734,37,100,56
30,99,66,1752,32,92,56
31,100,0,1836,24,96,45
32,99,1,1784,24,77,48
33,99,35,1636,37,87,63
34,99,2,1815,31,98,52
35,98,55,1746,35,96,60
36,100,0,1737,35,95,57
37,100,0,1696,31,87,51
38,100,0,1809,25,79,47
39,100,0,1885,66,94,60
40,98,13,1665,32,100,61
41,99,2,1760,24,98,46
42,99,4,1795,72,99,57
43,97,16,1809,37,93,61
44,99,1,1679,30,95,48
45,100,0,1931,69,98,50
46,99,25,1801,39,96,62
47,99,1,1764,35,92,59
48,100,0,1687,31,75,49
49,99,31,1754,26,88,50
50,100,0,1779,26,79,49
51,99,1,1652,26,79,50
52,100,0,1735,26,98,47
53,99,31,1695,32,94,50
54,100,0,1543,22,95,40
55,100,0,1885,32,95,55
56,99,60,1785,31,85,51
57,100,0,1674,28,98,48
58,100,0,1804,25,99,45
59,99,60,1833,45,97,66
60,99,1,1801,43,97,66
61,99,41,1739,26,100,46
62,98,52,1801,31,94,54
63,100,0,1750,35,100,57
64,99,1,1804,27,100,51
65,99,18,1626,30,87,48
66,99,1,1677,35,96,57
67,98,89,1769,24,91,45
68,97,91,1694,32,91,58
69,100,0,1711,33,83,50
70,99,86,1737,30,90,49
71,100,0,1909,22,90,46
72,99,1,1635,29,89,52
73,100,0,1889,64,100,48
74,100,0,1697,26,99,49
75,99,68,1830,26,83,48
76,98,11,1732,27,80,47
77,100,0,1655,31,92,54
78,100,0,1751,31,97,52
79,98,53,1753,27,96,49
80,100,0,1769,30,90,53
81,99,59,1765,25,74,44
82,100,0,1783,25,91,44
83,99,79,1785,32,95,50
84,99,96,1638,22,96,42
85,99,2,1833,29,97,52
86,99,1,1865,32,81,53
87,63,98,1115,226,99,62
88,98,15,1737,28,95,50
89,100,0,1804,31,99,50
90,99,1,1750,34,98,55
91,99,1,1689,26,98,50
92,98,24,1761,32,96,55
93,100,0,1720,40,97,65
94,100,0,1804,35,83,61
95,100,0,1563,33,94,55
96,97,72,1770,28,84,51
97,100,0,1678,33,100,53
98,100,0,1770,31,100,52
99,97,93,1684,41,98,59
