,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,100,0,1736,25,66,39
1,100,0,1726,39,98,57
2,99,14,1720,31,89,50
3,98,9,1646,29,97,49
4,99,59,1648,27,99,53
5,97,90,1730,33,100,57
6,99,2,1796,26,97,48
7,98,46,1754,31,86,57
8,100,0,1867,28,97,51
9,100,0,1791,30,99,50
10,98,34,1752,29,95,52
11,100,0,1813,65,91,55
12,100,0,1781,25,69,42
13,98,83,1666,37,89,62
14,100,0,1855,32,96,55
15,100,0,1860,40,94,64
16,99,71,1634,29,92,52
17,96,18,1712,28,72,54
18,100,0,1760,29,92,49
19,100,0,1753,34,93,56
20,100,0,1830,28,98,48
21,99,1,1863,34,95,60
22,98,68,1724,30,89,53
23,100,0,1864,25,88,44
24,99,98,1800,28,98,51
25,99,70,1719,27,86,48
26,99,74,1853,31,78,54
27,98,46,1744,31,91,54
28,97,47,1727,33,100,62
29,100,0,1792,33,81,53
30,99,85,1640,34,85,56
31,100,0,1781,24,96,42
32,99,30,1698,24,90,47
33,100,0,1906,33,94,60
34,100,0,1797,24,94,44
35,99,44,1737,29,95,48
36,100,0,1777,25,100,46
37,99,52,1774,26,96,45
38,98,83,1783,35,99,52
39,100,0,1710,29,98,48
40,98,68,1795,26,87,46
41,99,1,1591,29,69,45
42,98,46,1811,32,97,55
43,99,25,1735,34,82,53
44,99,34,1755,29,98,45
45,99,1,1794,22,98,44
46,99,1,1850,34,98,58
47,98,9,1742,32,94,53
48,99,77,1889,22,96,41
49,99,1,1755,28,67,49
50,99,1,1712,30,95,51
51,100,0,1796,29,92,53
52,100,0,1838,27,91,54
53,100,0,1839,36,86,54
54,94,77,1569,153,99,55
55,100,0,1799,32,93,51
56,100,0,1720,33,98,54
57,100,0,1910,30,95,47
58,98,66,1725,29,98,50
59,99,1,1810,28,83,51
60,98,43,1648,30,93,50
61,100,0,1989,27,85,48
62,98,82,1731,24,98,41
63,99,47,1773,37,100,63
64,96,85,1728,106,100,46
65,99,1,1783,27,88,52
66,99,86,1754,25,86,44
67,100,0,1770,27,86,45
68,100,0,1848,28,90,47
69,100,0,1748,30,93,50
70,99,1,1649,36,87,58
71,99,49,1699,24,82,44
72,100,0,1952,28,98,46
73,99,1,1685,32,96,53
74,100,0,1752,29,98,48
75,99,1,1655,32,98,54
76,100,0,1760,28,99,51
77,100,0,1830,34,99,63
78,100,0,1694,34,92,59
79,99,80,1692,59,100,44
80,100,0,1756,33,96,54
81,99,42,1758,27,78,52
82,98,74,1528,69,100,58
83,100,0,1769,19,92,37
84,100,0,1694,34,96,55
85,100,0,1767,22,90,47
86,99,23,1735,22,92,40
87,100,0,1678,33,89,54
88,100,0,1842,69,100,52
89,100,0,1790,30,93,52
90,100,0,1893,33,88,51
91,100,0,1803,20,100,43
92,99,1,1670,34,97,52
93,98,53,1786,32,97,57
94,99,1,1779,32,84,55
95,99,9,1745,26,92,42
96,99,1,1786,29,94,51
97,99,57,1691,30,90,53
98,99,1,1756,28,95,43
99,99,88,1663,30,91,50
