,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1763,34,90,55
1,100,0,1885,25,97,48
2,99,58,1642,37,97,57
3,99,94,1594,28,100,53
4,100,0,1734,28,86,47
5,100,0,1741,25,87,50
6,100,0,1816,29,100,49
7,99,1,1711,24,99,47
8,100,0,1847,23,72,38
9,100,0,1741,28,95,50
10,97,94,1711,27,94,43
11,100,0,1806,27,99,50
12,98,40,1771,30,100,57
13,100,0,1837,29,94,47
14,100,0,1681,31,98,50
15,100,0,1733,29,72,54
16,100,0,1826,30,98,50
17,99,1,1727,35,90,52
18,100,0,1875,32,99,56
19,100,0,1898,27,85,45
20,99,52,1769,29,90,50
21,100,0,1894,55,99,38
22,99,1,1697,30,100,52
23,99,94,1765,26,94,44
24,99,1,1715,38,86,54
25,99,26,1722,30,86,49
26,98,51,1752,33,70,54
27,100,0,1840,29,97,50
28,98,7,1684,36,89,52
29,100,0,1728,31,95,47
30,100,0,1841,66,96,51
31,99,29,1743,21,99,40
32,99,1,1868,33,100,51
33,100,0,1833,32,99,55
34,100,0,1758,29,81,46
35,99,1,1659,28,98,54
36,100,0,1654,37,100,58
37,99,1,1688,33,96,55
38,99,1,1819,36,94,60
39,100,0,1843,32,86,56
40,100,0,1920,28,96,47
41,99,1,1647,37,88,59
42,99,1,1583,35,81,60
43,100,0,1775,31,99,55
44,99,27,1757,24,94,39
45,100,0,1839,30,100,51
46,100,0,1759,27,71,47
47,100,0,1808,31,84,51
48,99,56,1720,31,90,53
49,98,3,1807,28,91,51
50,99,1,1827,29,90,57
51,99,1,1894,23,94,44
52,99,88,1628,34,88,57
53,100,0,1753,28,96,47
54,100,0,1695,34,92,55
55,100,0,1775,22,98,42
56,98,37,1750,26,88,46
57,99,57,1646,27,92,45
58,100,0,1751,29,90,54
59,100,0,1686,35,94,57
60,99,1,1776,24,97,45
61,99,16,1586,34,99,55
62,99,2,1696,30,73,53
63,99,1,1891,31,94,52
64,98,97,1683,35,97,62
65,99,1,1836,35,99,55
66,100,0,1723,26,78,48
67,62,100,1005,324,100,69
68,99,1,1768,27,100,50
69,100,0,1638,37,82,65
70,100,0,1815,34,92,59
71,99,2,1692,29,84,46
72,98,56,1694,40,99,68
73,100,0,1764,24,93,41
74,100,0,1700,29,70,49
75,100,0,1819,28,85,45
76,99,7,1818,23,99,42
77,99,86,1838,21,86,42
78,99,52,1814,34,94,56
79,98,2,1591,28,99,48
80,100,0,1744,29,99,49
81,99,31,1688,25,75,42
82,100,0,1830,27,95,48
83,100,0,1759,22,99,38
84,98,75,1799,38,94,57
85,98,5,1805,35,89,55
86,100,0,1802,36,96,57
87,98,29,1645,35,96,50
88,100,0,1768,32,87,56
89,100,0,1721,27,89,46
90,100,0,1760,26,81,53
91,100,0,1776,28,88,46
92,100,0,1715,31,96,50
93,100,0,1864,37,98,61
94,99,1,1683,30,99,54
95,97,73,1686,26,53,47
96,98,54,1622,32,89,52
97,99,81,1711,34,96,56
98,100,0,1697,33,82,53
99,100,0,1745,32,99,55
