,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,1,1803,28,91,45
1,100,0,1812,28,97,49
2,100,0,1736,27,92,44
3,99,1,1740,31,100,50
4,99,2,1740,23,98,46
5,100,0,1850,35,93,56
6,99,1,1689,25,97,47
7,99,1,1723,30,92,50
8,99,46,1780,21,90,41
9,98,29,1597,32,91,60
10,100,0,1707,32,97,50
11,97,51,1787,30,64,48
12,99,1,1818,27,85,48
13,98,23,1769,35,100,58
14,99,1,1790,28,86,53
15,90,90,1489,137,99,54
16,99,1,1801,31,99,52
17,98,57,1688,35,74,61
18,98,4,1727,29,91,52
19,96,77,1480,127,96,51
20,100,0,1895,27,100,48
21,100,0,1714,26,84,44
22,66,100,1044,203,100,70
23,98,73,1660,25,99,43
24,98,35,1787,24,99,43
25,99,1,1727,27,70,48
26,99,59,1877,25,89,45
27,98,4,1662,41,97,69
28,91,86,1582,148,97,56
29,99,1,1881,30,83,52
30,100,0,1777,25,89,48
31,100,0,1729,25,93,49
32,100,0,1746,31,100,54
33,99,1,1871,25,67,48
34,99,1,1804,29,87,51
35,98,40,1723,37,91,61
36,98,29,1818,33,98,57
37,99,1,1666,29,95,52
38,98,53,1719,34,91,58
39,100,0,1691,28,98,52
40,98,8,1729,26,77,46
41,100,0,1795,30,81,52
42,99,1,1551,35,100,61
43,99,2,1797,35,75,59
44,98,93,1724,32,95,55
45,100,0,1740,22,97,42
46,98,64,1817,31,88,53
47,97,56,1635,32,100,51
48,97,59,1716,30,96,50
49,99,1,1723,30,99,54
50,99,20,1781,36,95,60
51,97,24,1757,29,77,53
52,100,0,1782,30,76,53
53,100,0,1643,28,88,52
54,100,0,1596,34,92,58
55,99,98,1846,39,93,66
56,99,1,1887,21,89,39
57,100,0,1758,23,90,43
58,100,0,1656,26,68,45
59,99,1,1734,33,94,59
60,100,0,1801,75,100,46
61,100,0,1699,26,90,48
62,100,0,1753,26,89,56
63,98,32,1732,30,97,51
64,100,0,1784,32,83,47
65,97,57,1632,34,99,54
66,100,0,1749,33,94,51
67,99,9,1845,28,84,53
68,98,20,1747,28,90,48
69,100,0,1677,31,100,50
70,100,0,1870,34,100,51
71,100,0,1879,35,90,59
72,99,1,1878,26,96,49
73,100,0,1834,25,78,44
74,99,34,1634,27,100,49
75,100,0,1687,30,96,48
76,100,0,1780,26,62,51
77,99,12,1709,27,86,46
78,100,0,1807,25,96,43
79,100,0,1755,35,100,55
80,99,1,1752,29,95,47
81,99,57,1658,34,100,56
82,100,0,1720,31,99,51
83,100,0,1889,37,95,60
84,99,1,1865,25,66,43
85,100,0,1661,74,97,56
86,100,0,1719,30,96,50
87,100,0,1774,19,96,46
88,99,100,1744,26,100,48
89,98,48,1800,29,81,52
90,99,33,1843,34,94,54
91,99,53,1814,32,91,53
92,100,0,1847,29,84,50
93,100,0,1801,33,91,55
94,100,0,1832,31,99,48
95,100,0,1712,29,79,51
96,99,72,1792,31,100,51
97,99,1,1699,22,95,39
98,100,0,1760,29,99,48
99,100,0,1812,28,85,47
