,reward_sum,disc_reward_sum,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,2173.0,422.598936524,99,75,1761,28,98,47
1,2242.0,451.507590553,99,92,1737,28,97,54
2,2171.0,402.782953855,99,1,1715,25,87,48
3,2268.0,391.883663966,100,0,1774,34,99,61
4,2180.0,395.117599033,98,20,1717,34,96,56
5,2168.5,413.354836415,98,5,1764,32,93,51
6,2244.5,439.631280867,100,0,1921,34,97,58
7,2220.5,449.738442841,100,0,1754,27,98,50
8,2216.5,426.129556358,99,1,1687,34,98,60
9,2158.5,404.144784664,98,63,1629,29,98,47
10,2229.5,437.565342923,100,0,1822,33,93,52
11,2278.5,411.949455763,100,0,1734,30,73,56
12,2195.0,444.726316344,100,0,1784,27,99,51
13,2178.0,396.204028993,100,0,1631,30,83,50
14,2141.0,443.940404941,100,0,1718,27,90,48
15,2213.0,419.998897607,100,0,1746,26,76,46
16,2287.0,414.921932998,98,70,1715,37,92,64
17,2258.5,417.204230843,99,1,1924,27,76,49
18,2262.5,421.923053115,100,0,1756,36,86,59
19,2247.0,425.127205033,99,1,1851,31,94,54
20,2160.0,395.475442219,99,1,1603,32,96,54
21,2323.5,444.361754732,99,1,1738,62,100,55
22,2193.5,398.76603628,99,1,1660,24,89,41
23,2207.0,406.188507328,98,46,1781,24,97,43
24,2238.5,414.226941735,99,1,1800,42,97,62
25,2176.0,424.871557512,99,15,1647,30,97,52
26,2262.5,387.5681149,99,1,1898,40,95,62
27,2199.0,429.505370621,99,2,1807,29,93,55
28,2234.5,419.567679268,100,0,1819,34,97,57
29,2238.5,453.968621841,100,0,1773,29,88,46
30,2252.5,416.083619961,99,1,1786,28,82,47
31,2231.5,397.630672754,99,1,1771,36,100,64
32,2191.5,444.028126536,99,1,1698,25,80,44
33,2245.5,422.275025667,99,35,1665,28,98,54
34,2187.0,415.848934343,100,0,1708,28,95,54
35,2227.0,420.672424748,99,4,1632,36,98,59
36,2291.5,398.139662569,100,0,1807,34,95,54
37,2242.0,432.622414871,100,0,1833,26,96,39
38,2180.5,395.375386846,98,10,1730,26,91,52
39,2202.5,426.220616271,100,0,1746,34,99,56
40,2203.5,323.66694869,65,88,1164,213,100,76
41,2180.0,397.990099597,100,0,1750,31,75,49
42,2141.0,462.066914781,100,0,1772,29,96,49
43,2143.5,413.511398316,99,6,1783,30,100,49
44,2271.5,436.740813524,99,70,1763,30,98,45
45,2211.0,460.372586937,100,0,1675,31,98,46
46,2235.5,412.335885374,99,1,1728,25,96,45
47,2295.5,425.237731618,100,0,1921,31,95,51
48,2204.5,399.961057675,99,1,1715,33,93,58
49,2253.5,456.067863926,100,0,1933,27,100,45
50,2285.0,454.819203627,100,0,1900,24,88,44
51,2231.5,419.120142635,100,0,1794,28,100,53
52,2252.0,427.848538166,99,1,1858,22,94,46
53,2191.0,425.396498761,100,0,1766,29,86,51
54,2300.5,392.03124714,99,1,1770,24,98,44
55,2264.5,385.590370082,100,0,1733,38,96,70
56,2184.0,434.363145625,100,0,1802,29,97,49
57,2241.0,451.541950732,100,0,1943,27,98,51
58,2173.0,423.38810683,100,0,1613,26,88,47
59,2300.5,478.662939691,99,48,1728,66,95,45
60,2199.5,398.470964587,98,73,1718,42,97,68
61,2206.0,445.389759513,99,99,1706,28,99,48
62,2259.0,405.991635163,99,2,1787,37,100,65
63,2214.5,392.023750775,99,1,1751,34,83,60
64,2224.0,410.132688853,98,41,1666,29,65,52
65,2192.5,447.484524216,98,9,1678,28,92,48
66,2229.0,449.245834542,100,0,1673,33,97,58
67,2270.5,398.024931277,98,57,1702,37,95,60
68,2224.5,412.500709176,99,1,1783,23,98,42
69,2196.0,397.551861527,98,89,1736,34,91,54
70,2287.5,415.692849404,100,0,1681,37,98,62
71,2242.0,427.733358554,99,89,1808,29,78,54
72,2198.0,436.979162568,100,0,1717,22,97,42
73,2240.0,412.466005506,100,0,1693,23,100,43
74,2295.5,378.599728579,89,93,1419,170,99,51
75,2193.5,450.805639618,100,0,1858,20,98,43
76,2327.5,449.116938871,99,26,1809,65,99,50
77,2222.0,420.287035009,98,19,1770,29,91,47
78,2165.0,418.655783451,98,74,1647,32,100,53
79,2232.0,404.858815117,100,0,1585,29,82,50
80,2248.5,405.054178064,99,1,1759,26,87,48
81,2224.5,394.503749718,100,0,1729,32,79,52
82,2211.0,404.644816701,98,93,1655,29,93,53
83,2265.0,421.391342454,100,0,1817,29,87,50
84,2210.0,431.119305628,99,1,1776,43,91,69
85,2260.5,428.764840835,100,0,1893,28,100,47
86,2295.5,421.677629162,99,1,1827,22,89,47
87,2249.5,444.943832577,100,0,1755,27,93,47
88,2170.0,399.96774331,97,70,1719,30,96,58
89,2239.5,372.115257084,99,4,1715,33,88,61
90,2220.5,429.43783174,99,22,1720,33,99,56
91,2211.5,391.325489104,99,1,1714,35,84,57
92,2206.0,405.930255547,99,6,1676,29,97,53
93,2198.5,383.745877073,99,1,1790,30,91,55
94,2195.5,396.285071652,100,0,1687,37,99,58
95,2268.0,415.575179486,98,27,1762,30,97,51
96,2213.0,397.183295482,98,11,1757,65,99,56
97,2213.5,425.458946275,99,84,1754,32,94,55
98,2256.0,412.848799373,98,86,1786,27,87,47
99,2198.0,396.12856492,100,0,1653,24,100,44
