,n_dest_reached,last_dest_fail,sum_time_left,n_penalties,last_penalty,len_qvals
0,99,4,1728,30,100,50
1,100,0,1749,32,76,55
2,98,70,1569,34,93,58
3,97,75,1835,38,90,64
4,99,1,1635,25,68,50
5,99,1,1917,17,87,34
6,100,0,1626,40,100,63
7,99,66,1801,31,90,51
8,100,0,1799,35,86,55
9,99,80,1746,30,98,49
10,100,0,1829,27,100,56
11,99,98,1710,25,95,44
12,99,1,1736,30,97,51
13,99,1,1966,30,95,46
14,99,1,1794,34,98,54
15,96,28,1781,36,99,57
16,99,29,2033,58,99,55
17,100,0,1691,35,89,55
18,99,1,1763,24,90,47
19,100,0,1817,37,81,62
20,100,0,1665,30,92,56
21,99,1,1788,22,97,43
22,99,1,1778,32,85,60
23,100,0,1717,32,86,53
24,99,1,1755,28,96,47
25,100,0,1731,24,95,44
26,100,0,1821,27,74,47
27,99,6,1822,36,98,58
28,100,0,1817,30,100,52
29,99,93,1740,36,100,63
30,99,8,1630,35,84,55
31,100,0,1768,35,83,63
32,100,0,1782,30,100,49
33,99,1,1815,30,98,51
34,100,0,1839,26,94,46
35,99,56,1769,24,95,41
36,99,1,1794,37,90,60
37,100,0,1787,27,80,50
38,99,28,1690,36,93,58
39,99,73,1712,30,100,57
40,99,49,1643,45,86,70
41,100,0,1801,29,93,49
42,99,1,1736,28,96,43
43,99,15,1740,32,98,54
44,100,0,1822,24,100,45
45,99,23,1635,30,79,51
46,99,3,1544,42,79,65
47,100,0,1735,29,90,49
48,100,0,1636,25,93,46
49,100,0,1733,17,76,34
50,98,90,1659,37,90,64
51,99,29,1836,30,96,51
52,99,1,1665,34,98,57
53,99,1,1712,28,97,49
54,100,0,1785,29,91,49
55,99,88,1658,27,88,47
56,98,76,1683,33,79,55
57,99,100,1691,25,100,47
58,99,1,1681,40,97,63
59,100,0,1826,27,89,49
60,99,16,1690,33,95,53
61,100,0,1788,24,100,40
62,99,73,1721,37,99,57
63,99,1,1816,53,97,55
64,100,0,1819,31,91,55
65,100,0,1753,34,98,54
66,100,0,1859,34,83,56
67,99,1,1755,22,89,41
68,100,0,1767,30,91,55
69,98,63,1680,29,97,44
70,99,1,1809,31,97,53
71,99,21,1780,36,95,61
72,97,60,1650,28,100,52
73,99,7,1739,37,100,58
74,99,79,1819,31,99,53
75,99,1,1679,36,82,61
76,98,70,1723,38,88,60
77,99,1,1714,30,100,53
78,100,0,1909,35,88,56
79,100,0,1833,21,93,40
80,100,0,1649,36,99,56
81,98,35,1775,39,82,65
82,100,0,1688,30,85,50
83,100,0,1757,34,97,56
84,99,1,1927,35,98,53
85,98,100,1733,34,100,53
86,99,1,1839,30,86,57
87,100,0,1838,30,87,51
88,100,0,1708,32,65,53
89,99,1,1813,38,97,67
90,99,1,1688,35,98,56
91,99,80,1845,41,100,59
92,100,0,1664,29,89,44
93,98,39,1637,29,85,42
94,100,0,1818,25,75,45
95,100,0,1734,29,92,55
96,99,8,1674,30,97,54
97,100,0,1737,31,96,56
98,100,0,1716,25,73,44
99,99,32,1713,36,92,61
